"EWHURST (CONEYHURST)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,180,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.79,3.32,6.31,2.18,2.97,2.90,,,,1.08,,
February,3.40,0.92,1.72,0.90,2.35,2.63,,,,5.36,,
March,3.28,2.48,0.62,0.27,1.47,1.30,,,,1.58,,
April,1.55,1.71,1.42,1.55,1.34,3.07,,,,2.87,,
May,2.03,3.51,3.09,0.84,2.27,3.27,,,,1.44,,
June,2.24,0.18,1.73,1.88,2.99,3.10,,,,1.80,,
July,3.15,2.50,2.22,2.16,4.35,2.20,,,,3.82,,
August,4.76,3.04,1.83,3.38,2.08,6.25,,,,3.11,,
September,0.44,2.78,2.19,2.66,2.61,4.19,,,,3.72,,
October,1.40,3.98,3.97,4.61,4.33,,,,,0.46,,
November,3.75,1.88,1.66,4.96,0.22,,,,,6.99,,
December,2.67,3.35,2.19,2.60,3.95,,,,,2.75,,
Total,31.46,29.65,28.95,27.99,30.93,,,,,34.98,,
Calc annual,31.46,29.65,28.95,27.99,30.93,28.91,0.00,0.00,0.00,34.98,,
Difference,0.00,-0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,0.00,,
