"SEVENOAKS (UNDERRIVER)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,353/9,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,,,2.04,3.04,3.55,,,,
February,,,,,,3.64,1.50,2.12,,,,
March,,,,,,1.64,6.07,1.31,,,,
April,,,,,,3.31,1.77,0.97,,,,
May,,,,,,3.29,1.49,1.86,,,,
June,,,,,1.32,2.65,2.62,4.95,,,,
July,,,,,5.09,2.06,1.11,2.16,,,,
August,,,,,2.50,5.59,0.00,2.01,,,,
September,,,,,1.34,3.66,1.67,1.77,,,,
October,,,,,3.24,1.76,0.37,1.43,,,,
November,,,,,0.87,5.56,1.08,1.80,,,,
December,,,,,4.14,2.21,3.26,4.27,,,,
Total,,,,,,37.41,23.98,28.20,,,,
Calc annual,0.00,0.00,0.00,0.00,18.50,37.41,23.98,28.20,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,NaN,NaN,,
