"BUCKINGHAM (AKELEY)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1022/5,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,3.00,,,,,,,,,,,
February,2.32,,,,,,,,,,,
March,2.82,,,,,,,,,,,
April,1.55,,,,,,,,,,,
May,1.73,,,,,,,,,,,
June,1.68,,,,,,,,,,,
July,3.31,1.80,,,,,,,,,,
August,4.79,2.60,,,,,,,,,,
September,0.32,1.22,,,,,,,,,,
October,1.94,2.66,,,,,,,,,,
November,2.30,1.42,,,,,,,,,,
December,1.23,2.57,,,,,,,,,,
Total,26.99,,,,,,,,,,,
Calc annual,26.99,12.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
