"BOSTON (FREISTON ROAD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2538/5,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.90,2.55,4.29,2.33,2.86,1.15,2.04,4.01,1.10,0.97,,
February,3.06,1.30,0.43,2.10,1.95,1.84,1.79,0.88,0.70,3.26,,
March,3.44,1.61,0.60,0.41,0.66,0.90,4.41,0.48,0.91,0.54,,
April,0.79,0.78,0.87,1.75,1.24,1.10,1.76,0.90,1.77,1.95,,
May,1.98,2.68,2.49,0.90,1.25,1.14,0.29,2.79,1.72,3.23,,
June,0.51,1.60,1.47,2.36,1.91,2.62,3.01,3.08,0.80,1.46,,
July,4.22,2.39,1.20,1.84,1.85,1.87,1.46,1.48,2.76,2.54,,
August,4.39,2.33,2.15,2.65,5.13,2.82,0.02,3.62,1.99,2.03,,
September,0.68,1.22,1.90,4.19,1.21,2.69,1.19,2.28,1.41,3.81,,
October,3.09,2.43,0.90,2.34,2.35,2.94,0.16,1.74,4.33,0.95,,
November,2.96,2.62,2.06,3.75,0.85,4.38,1.09,1.35,2.52,3.77,,
December,0.38,1.73,0.93,1.21,2.30,2.26,2.03,2.86,1.34,1.79,,
Total,28.40,23.24,19.29,25.83,23.56,25.71,19.25,25.47,21.35,26.30,,
Calc annual,28.40,23.24,19.29,25.83,23.56,25.71,19.25,25.47,21.35,26.30,,
Difference,-0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
