"DAYBROOK (RED HILL RESERVOIR)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2615,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.72,2.14,3.93,2.64,1.12,2.33,1.89,4.98,1.19,1.07,,
February,2.16,1.49,0.77,1.38,2.38,2.18,1.83,1.42,0.69,4.65,,
March,2.93,1.73,0.88,0.46,0.85,0.94,4.71,0.52,1.25,0.88,,
April,1.55,1.11,0.85,2.28,1.87,1.26,2.14,1.06,2.08,2.54,,
May,2.48,3.37,2.78,0.95,2.09,2.14,1.51,2.15,2.18,1.55,,
June,0.52,0.65,1.89,1.93,2.43,2.95,1.90,2.32,0.52,1.39,,
July,3.46,2.84,1.04,2.63,2.63,2.10,2.29,1.01,3.55,2.15,,
August,4.05,2.68,1.86,4.52,2.53,5.67,0.25,3.36,1.95,3.20,,
September,0.59,1.02,2.17,3.69,1.89,3.00,1.23,2.31,0.97,2.93,,
October,2.69,2.00,2.01,2.82,3.39,1.00,0.41,2.05,4.23,0.84,,
November,3.34,1.58,2.02,4.55,0.36,4.75,1.86,1.27,3.06,4.13,,
December,0.99,1.98,0.92,1.43,2.11,2.75,2.03,3.27,2.13,1.26,,
Total,27.48,22.59,21.12,29.28,23.65,31.07,22.05,25.72,23.80,26.59,,
Calc annual,27.48,22.59,21.12,29.28,23.65,31.07,22.05,25.72,23.80,26.59,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
