"MIDHOPE MOOR (BARNSIDE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3145,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,4.20,3.88,6.85,7.80,4.81,7.36,5.04,11.49,2.61,2.83,,
February,5.65,1.48,3.99,2.45,5.19,7.11,3.50,4.92,3.07,8.42,,
March,7.18,2.53,2.15,0.70,1.47,2.25,8.12,2.53,1.77,2.47,,
April,2.80,3.04,3.86,3.07,3.08,2.26,5.83,3.10,4.26,5.08,,
May,3.29,5.20,3.57,3.70,4.27,2.96,3.36,1.99,2.80,2.75,,
June,0.87,1.29,2.94,2.68,3.89,5.55,3.23,5.57,0.87,1.19,,
July,2.78,3.95,1.98,3.20,1.96,3.67,2.28,1.55,4.97,2.44,,
August,4.69,4.72,4.02,3.66,3.73,4.53,0.47,6.34,2.67,4.06,,
September,0.41,2.49,4.75,5.42,2.14,7.10,1.90,2.19,1.91,6.08,,
October,5.60,4.93,2.63,4.72,7.75,2.06,1.12,2.41,4.76,2.16,,
November,4.87,1.78,3.74,8.44,0.79,10.17,6.17,1.83,7.90,6.82,,
December,2.56,4.31,2.64,5.25,4.05,5.02,5.92,5.65,9.18,2.59,,
Total,44.90,39.60,43.12,51.09,43.13,60.04,46.94,49.57,46.77,46.89,,
Calc annual,44.90,39.60,43.12,51.09,43.13,60.04,46.94,49.57,46.77,46.89,,
Difference,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
