"LONGTOWN (ARTHURET REC)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3622/3,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,0.39,4.22,4.72,,,,,,,,,
February,3.26,1.50,2.34,,,,,,,,,
March,3.00,2.07,1.09,,,,,,,,,
April,1.18,1.92,2.33,,,,,,,,,
May,2.42,2.15,3.45,,,,,,,,,
June,0.76,0.79,4.31,,,,,,,,,
July,1.79,3.72,2.80,,,,,,,,,
August,5.15,2.55,5.48,,,,,,,,,
September,1.09,4.14,3.69,,,,,,,,,
October,4.95,4.22,4.31,,,,,,,,,
November,2.04,0.85,2.27,,,,,,,,,
December,1.27,3.89,1.68,,,,,,,,,
Total,27.30,32.02,38.47,,,,,,,,,
Calc annual,27.30,32.02,38.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
