"CLAWDD - NEWYDD (FOEL FACH)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4307/5,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,4.88,6.00,4.86,2.31,3.09,3.16,9.18,2.81,1.83,,
February,,1.72,3.00,2.24,6.27,4.73,1.55,5.20,2.04,6.36,,
March,,1.64,1.01,0.47,0.73,1.75,7.51,2.84,1.92,1.93,,
April,,2.23,2.40,0.67,1.29,0.69,3.81,2.18,4.33,4.78,,
May,3.14,3.27,4.60,2.41,4.21,2.09,2.58,1.39,3.47,1.71,,
June,1.05,0.43,2.50,2.32,2.19,3.75,2.34,7.61,0.75,1.46,,
July,1.22,3.79,3.25,2.08,2.15,1.68,3.47,2.26,2.88,3.41,,
August,4.00,4.15,3.70,3.98,1.91,4.54,0.46,4.51,2.01,5.32,,
September,0.71,2.96,5.23,4.88,1.93,4.23,-999.00,3.59,1.26,6.97,,
October,4.82,2.04,4.40,5.52,4.74,1.28,0.46,3.75,5.29,4.06,,
November,2.76,1.20,3.84,7.69,0.46,4.96,4.59,3.96,5.98,4.20,,
December,2.38,4.86,2.21,4.50,2.73,3.69,3.18,5.15,5.71,3.21,,
Total,,33.17,42.14,41.62,30.92,36.48,34.76,51.62,38.45,45.24,,
Calc annual,20.08,33.17,42.14,41.62,30.92,36.48,33.11,51.62,38.45,45.24,,
Difference,NaN,0.00,0.00,0.00,-0.00,0.00,1.65,0.00,0.00,-0.00,,
