"LOCH DEE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5015/8,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,1.90,11.00,12.01,10.82,6.25,12.41,8.75,13.69,7.97,6.36,,
February,5.50,3.40,9.18,5.13,10.48,5.48,1.18,7.43,8.68,8.49,,
March,4.84,6.12,3.44,1.54,7.49,4.71,7.39,7.58,4.46,7.93,,
April,5.53,5.31,5.99,6.11,3.30,2.10,12.03,3.98,11.07,6.90,,
May,4.84,7.33,6.52,5.12,7.34,1.27,6.50,3.18,3.59,2.90,,
June,1.45,1.30,8.16,7.15,8.34,8.11,7.04,8.16,1.47,6.73,,
July,5.45,6.31,4.51,4.21,4.19,6.13,5.88,7.48,2.96,7.97,,
August,9.17,9.18,9.71,4.35,3.23,6.21,0.23,9.56,4.67,11.19,,
September,5.39,10.89,5.96,8.12,9.35,15.10,9.01,6.63,3.87,20.35,,
October,9.83,11.60,14.79,9.15,11.01,0.96,3.63,5.76,9.02,7.78,,
November,10.03,3.03,8.16,12.47,0.67,14.51,12.87,7.81,9.24,6.49,,
December,6.95,13.05,5.12,10.33,7.00,10.16,5.35,9.00,15.19,4.15,,
Total,70.88,88.52,93.55,84.50,78.65,87.15,79.86,90.26,82.19,97.24,,
Calc annual,70.88,88.52,93.55,84.50,78.65,87.15,79.86,90.26,82.19,97.24,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
