"GREENOCK WW",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5314,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,1.60,10.80,8.20,9.60,5.10,11.60,7.70,9.60,10.60,5.80,,
February,6.20,2.70,7.90,2.90,10.50,4.50,1.80,8.70,8.20,7.50,,
March,3.60,6.70,4.20,1.70,5.70,3.90,5.70,8.10,4.00,4.80,,
April,3.30,3.30,6.00,4.50,2.70,3.70,10.00,4.30,10.60,4.20,,
May,2.70,3.90,4.20,6.50,6.10,1.60,5.50,2.00,2.90,2.00,,
June,2.20,2.70,5.20,6.60,5.00,5.10,5.40,6.80,1.70,2.90,,
July,4.10,5.30,3.10,5.90,5.70,4.80,5.90,7.20,3.00,6.60,,
August,6.60,7.50,10.70,4.90,3.20,3.90,0.00,9.50,6.30,8.80,,
September,2.30,8.90,6.10,7.10,7.90,8.80,7.50,10.50,3.50,12.50,,
October,7.90,10.90,14.90,8.20,8.90,0.50,4.50,13.40,8.90,8.00,,
November,8.20,1.50,4.90,10.30,1.00,8.70,10.40,6.60,7.90,5.20,,
December,4.60,11.90,4.20,8.20,6.60,9.40,4.80,9.70,12.00,2.40,,
Total,53.30,76.10,79.60,76.40,68.40,66.50,69.20,96.40,79.60,70.70,,
Calc annual,53.30,76.10,79.60,76.40,68.40,66.50,69.20,96.40,79.60,70.70,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
