"CUPAR (OVER RANKEILLOUR)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5495,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.68,2.98,3.63,1.60,3.04,1.95,3.91,5.06,1.51,1.23,,
February,4.10,1.44,0.93,0.51,2.25,0.89,2.74,2.63,1.78,2.15,,
March,2.03,1.94,0.57,0.28,1.25,2.17,3.86,0.88,1.28,2.30,,
April,1.89,1.28,1.22,1.94,1.13,0.33,3.01,1.33,1.10,1.64,,
May,2.64,3.59,3.50,1.78,4.02,1.81,4.16,2.89,1.69,1.62,,
June,0.68,0.99,1.61,2.12,2.08,3.18,3.00,3.87,1.09,1.46,,
July,1.73,2.87,2.17,2.64,2.99,5.24,1.88,2.03,2.21,3.76,,
August,2.68,1.94,4.21,2.14,3.29,3.78,0.23,6.75,3.01,2.52,,
September,1.03,2.40,2.68,2.84,3.31,3.03,2.44,2.80,1.57,5.55,,
October,3.02,1.77,2.96,3.34,3.75,0.37,1.33,3.16,4.13,1.73,,
November,3.02,0.48,1.00,4.84,0.94,5.64,2.02,1.36,2.79,3.62,,
December,1.39,2.16,1.35,3.25,3.31,2.54,1.52,3.36,2.63,1.25,,
Total,26.89,23.84,25.83,27.28,31.36,30.93,30.10,36.12,24.79,28.83,,
Calc annual,26.89,23.84,25.83,27.28,31.36,30.93,30.10,36.12,24.79,28.83,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,,
