"ROYBRIDGE (LAIRIG ROAD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5730,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,0.67,7.10,9.51,9.24,3.47,10.30,4.90,6.20,11.68,6.50,,
February,5.68,2.47,10.87,3.98,9.35,8.84,0.13,9.00,11.33,9.00,,
March,2.15,2.50,7.08,2.96,6.30,4.23,1.83,8.50,3.75,5.28,,
April,4.17,2.33,9.33,5.15,2.30,2.68,8.90,5.00,8.00,5.33,,
May,2.67,3.40,4.65,5.37,6.20,1.08,2.40,1.95,3.75,2.93,,
June,0.65,2.48,4.95,5.12,7.34,5.20,3.72,5.60,2.00,3.03,,
July,5.80,4.84,4.81,1.92,2.35,4.60,4.90,4.50,2.00,3.90,,
August,7.37,8.91,6.80,4.47,1.71,3.87,0.00,6.50,9.15,5.36,,
September,3.25,10.36,6.77,4.79,8.50,5.20,7.30,8.60,4.26,9.73,,
October,7.66,10.35,16.70,8.50,6.59,0.50,4.22,9.90,8.60,11.06,,
November,9.50,5.08,6.29,8.70,0.36,5.83,11.08,7.80,8.00,5.56,,
December,8.60,14.30,5.46,8.96,9.39,6.26,2.60,11.69,14.14,1.60,,
Total,58.17,74.12,93.22,69.16,63.86,58.59,51.98,85.24,86.66,69.28,,
Calc annual,58.17,74.12,93.22,69.16,63.86,58.59,51.98,85.24,86.66,69.28,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
