"WROTHAM (FAIRSEAT MANOR)",,,,,,,,,,,,
Grid ref,TQ621614,Long,0.325275,Lat,51.328599,,,,,,,
Station no,387/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.72,2.85,1.18,1.93,3.80,3.75,3.00,3.00,3.15,3.61,,
February,6.96,1.11,1.56,2.24,2.23,0.86,6.06,2.56,0.17,2.44,,
March,4.87,3.95,0.38,3.20,1.50,1.14,1.81,1.64,1.34,1.65,,
April,3.02,1.82,2.92,0.44,0.25,1.41,0.23,1.69,2.45,0.98,,
May,2.31,0.99,2.35,2.02,4.27,0.95,1.65,2.15,1.14,2.37,,
June,1.43,1.48,2.19,4.60,2.11,2.79,1.90,4.35,1.01,2.18,,
July,2.84,0.72,4.37,3.12,0.97,4.58,3.71,1.81,1.85,3.76,,
August,4.50,4.17,1.94,3.56,0.96,3.26,2.32,3.39,1.16,4.26,,
September,4.17,4.25,3.55,2.69,3.38,3.77,3.04,4.43,0.30,3.42,,
October,1.12,2.54,3.00,2.76,5.13,1.50,1.64,3.36,2.36,7.92,,
November,5.20,5.74,1.54,5.57,1.26,1.12,4.19,1.92,4.28,5.40,,
December,3.30,2.71,0.98,2.25,2.53,4.39,2.69,3.85,5.70,3.91,,
Total,42.44,32.33,25.96,34.38,28.39,29.52,32.24,34.15,24.91,41.90,,
Calc annual,42.44,32.33,25.96,34.38,28.39,29.52,32.24,34.15,24.91,41.90,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
