"CROCKENHILL (WESTED FARM)",,,,,,,,,,,,
Grid ref,TQ517668,Long,0.178421,Lat,51.379986,,,,,,,
Station no,395,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.49,2.06,0.94,1.44,2.82,3.73,1.30,2.60,2.88,2.21,,
February,5.90,0.96,1.47,2.16,2.13,0.38,3.38,2.33,0.15,2.22,,
March,3.16,2.36,0.33,2.11,0.91,0.93,1.10,1.22,1.70,1.68,,
April,2.63,1.12,2.40,0.38,0.20,1.39,0.10,1.62,2.31,0.55,,
May,2.23,0.88,2.22,2.18,3.76,0.71,1.19,1.46,1.42,1.98,,
June,1.65,1.43,1.47,3.85,2.15,3.02,1.18,4.27,0.64,1.54,,
July,2.86,0.69,3.17,2.93,0.00,6.34,3.30,2.45,1.66,3.38,,
August,4.73,2.49,1.44,3.22,1.58,2.85,3.23,4.39,0.97,3.77,,
September,2.70,3.48,3.63,1.78,2.81,2.31,2.56,5.19,0.10,4.08,,
October,0.94,2.67,3.81,2.06,4.46,1.46,1.44,3.15,2.28,6.21,,
November,4.05,4.18,1.11,4.77,0.82,0.67,3.77,1.66,2.98,4.20,,
December,2.25,2.34,0.84,1.54,1.77,3.37,2.08,3.14,5.11,2.91,,
Total,35.59,24.66,22.83,28.42,23.41,27.16,24.63,33.48,22.20,34.73,,
Calc annual,35.59,24.66,22.83,28.42,23.41,27.16,24.63,33.48,22.20,34.73,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
