"CHINGFORD (CRESCENT ROAD)",,,,,,,,,,,,
Grid ref,TQ397946,Long,0.017113,Lat,51.632871,,,,,,,
Station no,1233,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.52,1.80,1.00,1.13,2.78,3.27,1.33,2.43,2.01,1.92,,
February,5.37,0.79,1.57,2.54,1.95,0.44,3.14,2.83,0.12,2.56,,
March,3.16,3.02,0.47,2.19,1.25,0.99,1.06,1.14,1.90,1.28,,
April,2.68,1.28,2.64,0.31,0.39,1.04,0.19,1.39,2.75,0.61,,
May,2.35,1.70,1.29,1.91,4.70,0.64,1.23,2.63,1.39,1.74,,
June,0.53,1.55,1.31,2.86,2.22,2.90,0.99,6.11,0.94,1.50,,
July,1.22,0.67,3.11,2.68,0.61,4.15,3.88,2.87,1.89,3.73,,
August,5.44,2.98,2.01,2.83,1.11,4.56,2.00,4.09,1.33,2.53,,
September,3.27,3.33,1.81,1.57,1.80,2.26,2.50,3.74,0.12,4.40,,
October,0.63,2.51,2.97,2.34,2.98,2.15,1.24,2.76,2.09,6.60,,
November,4.70,3.68,0.95,3.58,0.70,0.53,2.11,1.86,3.16,3.53,,
December,1.90,2.32,0.61,1.66,1.58,2.62,1.70,3.27,3.85,2.78,,
Total,33.77,25.63,19.74,25.60,22.07,25.55,21.37,35.12,21.55,33.18,,
Calc annual,33.77,25.63,19.74,25.60,22.07,25.55,21.37,35.12,21.55,33.18,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
