"BATTLESDEN (PUMPING STATION)",,,,,,,,,,,,
Grid ref,SP960281,Long,-0.604799,Lat,51.943128,,,,,,,
Station no,1162/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.75,1.59,1.33,0.91,2.34,4.05,1.36,2.86,3.59,2.71,,
February,3.94,0.72,1.77,1.97,1.51,0.57,2.92,2.92,0.07,2.38,,
March,3.19,2.76,0.67,2.47,1.06,0.83,1.42,1.97,2.03,1.54,,
April,3.07,2.05,2.32,0.20,0.63,1.41,0.23,1.13,2.25,0.59,,
May,2.41,2.27,1.58,2.74,4.99,0.56,1.36,2.08,0.74,1.48,,
June,1.49,1.10,1.74,3.38,2.47,2.58,1.72,5.27,1.63,3.09,,
July,1.52,0.41,2.81,3.73,0.22,3.45,2.74,2.05,3.78,3.72,,
August,3.85,2.85,3.15,3.62,0.69,4.92,2.11,3.00,0.73,3.42,,
September,2.36,3.07,1.41,2.23,1.87,2.30,2.91,3.15,0.13,3.90,,
October,1.35,3.08,2.33,2.21,2.24,1.14,2.18,2.43,2.20,4.78,,
November,4.45,3.33,1.15,3.82,1.39,0.95,1.76,2.02,2.23,3.13,,
December,1.56,2.67,0.59,2.24,3.00,3.15,2.78,2.29,4.10,4.09,,
Total,31.94,25.90,20.85,29.52,22.41,25.91,23.49,31.17,23.48,34.83,,
Calc annual,31.94,25.90,20.85,29.52,22.41,25.91,23.49,31.17,23.48,34.83,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
