"DENVER SLUICE",,,,,,,,,,,,
Grid ref,TF587009,Long,0.340912,Lat,52.582750,,,,,,,
Station no,1460/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.39,1.63,1.12,1.28,1.52,2.67,1.64,2.09,2.59,2.85,,
February,2.23,0.71,1.38,1.99,2.17,1.05,1.91,2.89,0.16,1.32,,
March,3.39,2.53,1.16,2.07,1.47,0.56,1.75,0.90,1.74,1.29,,
April,2.75,1.39,1.94,2.30,0.59,0.68,0.27,0.77,1.29,0.37,,
May,2.46,2.13,1.47,2.35,2.62,0.77,1.05,2.19,0.52,0.62,,
June,1.12,1.05,4.40,2.66,1.81,2.17,0.90,3.67,0.88,1.92,,
July,0.60,0.57,2.42,3.14,0.06,2.28,2.31,3.06,2.33,2.67,,
August,3.73,2.32,2.50,4.89,0.76,4.05,1.30,2.73,1.41,3.88,,
September,2.35,2.87,1.15,2.33,1.49,1.04,3.86,3.04,0.02,2.12,,
October,1.36,1.81,2.21,1.99,2.14,1.62,1.34,1.93,1.58,4.85,,
November,2.62,3.01,1.37,3.41,1.01,0.98,1.04,1.38,1.20,3.14,,
December,1.30,1.81,0.84,1.53,1.29,1.50,1.78,2.65,3.58,3.07,,
Total,26.30,21.83,21.96,29.94,16.93,19.37,19.15,27.30,17.30,28.10,,
Calc annual,26.30,21.83,21.96,29.94,16.93,19.37,19.15,27.30,17.30,28.10,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
