"PENZANCE (TRENGWAINTON HOUSE)",,,,,,,,,,,,
Grid ref,SW445313,Long,-5.576147,Lat,50.126643,,,,,,,
Station no,1910,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.88,5.25,1.66,3.90,7.16,6.44,3.63,5.90,6.78,5.36,,
February,5.44,1.91,1.97,6.21,5.61,1.15,5.87,6.68,0.46,4.83,,
March,5.55,4.71,1.14,4.76,1.90,1.77,5.42,5.01,4.87,4.07,,
April,2.07,3.60,3.12,0.92,1.74,0.77,1.00,1.70,3.29,2.64,,
May,3.32,1.59,3.76,4.23,4.74,1.71,3.35,3.40,1.82,1.40,,
June,0.51,2.23,2.39,4.22,4.22,3.06,1.93,4.28,1.19,1.55,,
July,0.84,1.57,5.09,4.85,0.08,4.88,3.56,3.67,2.20,5.37,,
August,6.23,5.04,2.58,2.30,0.67,3.42,4.63,6.79,1.38,4.48,,
September,4.45,3.31,4.26,5.21,2.12,7.22,4.46,6.32,0.01,5.32,,
October,1.91,6.14,2.91,3.89,5.45,2.60,3.69,3.78,5.72,9.29,,
November,7.59,7.75,2.53,8.55,2.81,2.47,2.98,3.80,9.45,7.23,,
December,5.46,4.71,1.41,5.21,8.84,7.29,5.10,6.83,10.84,8.05,,
Total,49.25,47.81,32.82,54.25,45.34,42.78,45.62,58.16,48.01,59.59,,
Calc annual,49.25,47.81,32.82,54.25,45.34,42.78,45.62,58.16,48.01,59.59,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
