"WINCLE",,,,,,,,,,,,
Grid ref,SJ963653,Long,-2.056824,Lat,53.184782,,,,,,,
Station no,2771/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,5.49,2.38,4.06,3.62,,,
February,,,,,,1.36,2.60,7.19,1.02,,,
March,,,,,,1.90,3.89,2.02,2.16,,,
April,,,,,,2.22,0.80,1.40,2.79,,,
May,,,,,,1.46,1.40,3.83,1.36,,,
June,,,,,,3.29,2.18,6.33,1.61,,,
July,,,,,,6.18,5.84,5.02,2.64,,,
August,,,,,,10.39,6.64,3.54,,,,
September,,,,,,2.89,8.17,5.04,,,,
October,,,,,,2.92,3.44,3.89,,,,
November,,,,,,2.00,2.30,1.80,,,,
December,,,,,,4.40,3.95,4.04,,,,
Total,,,,,,44.50,43.59,48.16,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,44.50,43.59,48.16,15.20,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,NaN,NaN,,
