"LINDHOLME AIRFIELD",,,,,,,,,,,,
Grid ref,SE682063,Long,-0.972147,Lat,53.548914,,,,,,,
Station no,3111/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,1.48,3.00,1.02,,,,,
February,,,,,1.51,0.80,1.44,,,,,
March,,,,,2.06,0.72,1.15,,,,,
April,,,,0.27,0.99,1.49,0.19,,,,,
May,,,,2.92,2.23,0.52,1.08,,,,,
June,,,,1.46,2.62,3.71,2.06,,,,,
July,,,,1.82,0.78,2.89,5.01,,,,,
August,,,,4.20,0.31,5.01,3.99,,,,,
September,,,,1.44,0.73,1.66,3.10,,,,,
October,,,,2.72,1.44,0.94,1.05,,,,,
November,,,,3.93,1.55,0.52,2.05,,,,,
December,,,,2.06,2.01,1.69,1.76,,,,,
Total,,,,,17.71,22.95,23.90,,,,,
Calc annual,0.00,0.00,0.00,20.82,17.71,22.95,23.90,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,NaN,NaN,NaN,,
