"AYR (DOONHOLM)",,,,,,,,,,,,
Grid ref,NS338175,Long,-4.627660,Lat,55.423136,,,,,,,
Station no,5262,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.11,6.38,3.03,4.38,3.12,3.21,5.05,4.04,1.37,4.52,,
February,3.51,2.00,1.39,3.61,1.97,1.06,2.61,3.71,2.16,3.71,,
March,3.28,1.64,0.85,2.57,1.68,1.85,4.32,0.98,2.23,1.86,,
April,2.66,1.72,1.67,1.38,2.60,1.13,2.59,1.52,1.90,2.68,,
May,1.92,1.67,2.14,1.83,3.32,2.40,1.76,3.49,1.26,1.67,,
June,1.68,2.83,0.88,4.32,2.95,2.40,2.13,3.58,3.43,2.52,,
July,2.76,2.70,6.18,4.60,1.89,4.43,4.07,5.25,5.05,2.81,,
August,4.36,5.80,3.22,4.33,1.96,5.98,3.91,5.85,0.80,4.02,,
September,2.55,2.99,4.94,6.02,4.04,3.54,4.12,3.62,1.79,3.30,,
October,1.30,3.85,3.24,9.16,2.45,3.59,-999.00,2.86,5.71,2.53,,
November,5.57,2.41,7.16,6.01,1.98,1.85,2.29,1.92,4.61,6.45,,
December,6.91,4.33,4.39,5.60,5.44,5.39,3.96,4.12,5.92,5.31,,
Total,40.61,38.32,39.09,53.81,33.40,36.83,42.06,40.94,36.23,41.38,,
Calc annual,40.61,38.32,39.09,53.81,33.40,36.83,36.81,40.94,36.23,41.38,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,5.25,0.00,0.00,0.00,,
