"INVERKIP (DAFF BURN RES.)",,,,,,,,,,,,
Grid ref,NS228711,Long,-4.835838,Lat,55.900304,,,,,,,
Station no,5306,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.10,6.00,5.03,7.30,3.82,4.33,8.68,7.61,2.08,5.09,,
February,3.82,3.24,2.82,4.62,3.50,2.43,3.49,4.33,2.99,5.79,,
March,5.40,4.50,1.62,4.09,2.36,3.74,7.22,2.41,3.98,3.52,,
April,3.76,2.85,2.92,3.38,5.00,1.98,3.23,2.84,5.05,3.37,,
May,2.12,1.84,3.18,3.58,4.26,4.03,2.11,4.84,0.96,3.02,,
June,2.25,4.34,1.60,5.21,4.40,1.96,3.27,3.76,3.78,3.78,,
July,4.38,2.93,7.60,4.80,1.43,5.59,6.31,5.51,8.46,5.33,,
August,5.35,5.51,5.77,6.15,1.27,5.79,8.84,5.78,1.81,4.70,,
September,5.16,5.47,7.78,9.23,6.66,5.14,4.08,4.70,2.50,3.70,,
October,2.10,6.95,5.62,11.42,6.10,3.76,7.15,5.23,6.86,3.72,,
November,9.25,2.73,10.15,10.43,3.12,3.58,3.35,2.98,7.79,8.65,,
December,11.17,7.83,6.82,9.62,10.48,9.40,8.10,6.07,12.05,8.30,,
Total,60.86,54.19,60.91,79.83,52.40,51.73,65.83,56.06,58.31,58.97,,
Calc annual,60.86,54.19,60.91,79.83,52.40,51.73,65.83,56.06,58.31,58.97,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
