"GLEN SPEAN (CRAIGBEG)",,,,,,,,,,,,
Grid ref,NN406817,Long,-4.618799,Lat,56.899157,,,,,,,
Station no,5738,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.45,5.30,3.60,5.51,5.00,5.85,10.00,6.35,4.15,4.70,,
February,4.32,2.60,4.73,4.55,5.50,4.15,4.50,3.75,3.05,3.75,,
March,3.44,4.30,2.63,3.60,1.70,4.57,4.80,1.75,3.50,0.75,,
April,5.00,3.10,4.40,3.25,3.20,2.78,1.67,2.90,6.75,5.55,,
May,1.05,3.33,7.72,4.63,3.05,5.55,1.45,4.55,2.10,1.65,,
June,2.27,4.00,2.56,3.76,1.16,2.35,3.05,2.05,4.40,3.25,,
July,3.75,3.38,6.07,3.80,1.01,5.30,5.10,3.95,4.90,1.50,,
August,5.86,4.85,4.90,3.20,1.05,6.20,5.30,4.75,3.75,5.48,,
September,4.53,5.85,5.62,7.65,6.19,5.75,4.50,4.50,2.00,3.35,,
October,2.17,8.00,3.98,12.30,6.32,6.00,7.00,7.25,9.30,2.70,,
November,7.65,3.40,15.22,9.15,2.10,5.95,2.00,1.75,6.90,3.80,,
December,9.70,7.45,5.80,13.45,10.15,10.55,8.00,5.20,6.60,6.30,,
Total,57.19,55.56,67.23,74.85,46.43,65.00,57.37,48.75,57.40,42.78,,
Calc annual,57.19,55.56,67.23,74.85,46.43,65.00,57.37,48.75,57.40,42.78,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,,
