GLASGOW GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS599645,Long,-4.239597,Lat,55.853281,Elevation,35,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,1.3,2.14,1.4,2.21,6.54,4.94,2.89,3.03,7.91,3.8,1.71,4.83,2.94,4.42,5.02,4.04,2.02,3.71,3.12,2.94,2.17,6.11,2.02,4.59,3.39,4.82,7.29,3.92,3.43,4.07,5.07,4.94,5.01,9.61,1.46,6.02,3.61,7.15,4.07,4.79,1.88,4.98,3.66,6.6,4.75,3.11,0.97,4.87,4.16,3.99,2.88,5.02,3.73,6.66,4.18,2.69,4.57,4.59,1.01,4.82,2.63,2.35,5.51,3.6,1.21,3.32
February,,,,,,0.28,1.63,2.49,2.87,1.74,2.86,1.32,1.62,6.85,2.04,2.33,2.57,3.51,2.45,1.69,3.04,5.49,2.65,2.86,3.4,4.01,4.69,0.94,4.62,0.84,5.1,0.87,3.33,3.94,0.96,3.72,4.48,2.07,4.64,1.95,0.24,3.59,0.03,3.01,0.56,4.14,2.01,5.18,1.82,5.23,1.32,2.95,1.54,4.73,1.62,5.56,2.58,1.22,3.86,4.15,4.22,2.74,1.31,1.18,3.29,2.05,1.02,2.95,2.61,1.38,3.29
March,,,,,,2.44,4.54,3.57,1.27,3.61,0.63,4.02,2.26,7.31,1.39,2.96,3.7,4.27,3.52,2.71,1.83,1.43,3.53,4.33,4.72,1.37,2.7,2.07,1.42,2.96,4.2,5.6,1.58,1.47,0.83,2.29,3.2,2.44,3.83,0.82,2.73,1.18,2.15,2.51,2.92,1.93,2.88,1.86,3.17,3.25,4.62,3.29,2.31,1.96,0.81,2.85,2.25,3.75,3.17,1.72,2.41,2.72,2.2,1.08,2.21,1.73,2.31,3.58,1.02,1.33,1.99
April,,,,,1.39,1.71,2.16,1.69,1.28,3.34,1.88,2.71,0.57,1.25,4.07,1.78,1.09,1.75,1.13,3.25,4.3,2.25,1.28,3.11,2.46,2.04,3.19,1.57,0.46,1.68,1.89,0.76,1.7,3.34,2.19,4.28,2.65,1.95,1.13,1.46,1.15,1.64,3.3,1.5,3.18,3.11,1.08,1.94,0.48,1.7,2.61,2.77,2.08,2.49,2.54,2.09,1.43,5.86,2.84,3.78,2.82,2.23,2.14,1.82,1.35,1.11,1,1.92,1.12,2.91,2.58
May,,,,,2.98,0.76,0.95,2.09,2.59,4.61,2.25,1.75,1.85,2.66,3.35,1.5,4.24,3.6,2.85,1.83,1.74,1.71,1.02,3,1.68,1.46,3.98,3.07,2.14,0.57,4.5,2,2.78,2.04,4.56,6.29,3.54,2.72,2.31,2.63,1.56,4.22,3.03,2.5,2.21,0.64,1.38,2.26,3.88,1,1.04,3.47,2.54,3.6,2.51,3.98,1.14,4.45,1.32,2.38,1.12,1.95,1.76,2.17,3.43,3.18,1.72,2.48,2.87,0.95,2.95
June,,,,,3.37,2.08,4.94,5.75,1.45,1.52,3.76,3.41,1.76,1.4,1.4,0.57,1.55,4.35,2.24,2.74,2.48,1.19,4.38,3.1,0.42,1.83,2.08,2.41,0.93,3.98,1.5,0.41,1.65,0.81,2.39,0.52,2.19,4.67,5.26,2.84,2.68,4.92,0.87,2.23,2.15,5.76,1.73,2.3,4.67,1.66,0.72,0.71,1.02,3.22,2.39,4.26,3.16,3.02,5.74,0.87,2.03,2.15,2.61,2.86,2.86,1.73,2.74,1.76,3.2,2.68,2.3
July,,,,,3.19,3.78,4.08,1.9,1.36,3.95,3.3,1.78,2.67,3.46,3.31,2.45,2.11,3.4,2.08,2.9,3.77,2.05,2.04,1.1,2.09,3.52,4.22,2.26,3.44,0.54,3.23,3.16,2.26,3.66,3.21,2.05,3.42,4.24,1.9,2.67,3.75,3.73,3.2,4.32,2.44,1.69,4.69,3.07,5.2,3.68,4.38,2.99,2.55,2.66,2.99,2.91,3.89,2.53,2.93,2.08,5.53,3.21,2.32,4.84,3.04,1.57,4.97,3.27,5.12,4.28,4.64
August,,,,,5.28,6.45,1.53,6.1,4.11,1.3,5.33,3.61,3.11,5.82,3.23,3.69,5.04,4.94,1.64,2.51,5.27,1.5,3.46,1.15,3.07,1.76,3.5,4.49,2.72,2.18,4.47,5.77,2.99,5.23,3.97,3.79,3.83,5.86,3.14,5.49,5.55,2.07,1.36,2.48,4.22,3.05,3.19,3.1,2.74,1.57,1.84,4.36,3.53,6.12,3.37,1.81,2.48,0.01,6.56,4.1,4.9,3.85,3.05,3.08,5.83,1.09,4.59,3.92,5.02,0.48,3.02
September,,,,,0.2,1.35,4.13,3.12,3.41,3.68,3.37,2.65,3.02,3.53,2.45,2.03,2.21,1.42,3.77,1.67,1.21,2.19,2.46,2.06,1.42,1.35,0.7,1.64,6.01,2.27,2.55,1.73,1.81,5.16,4.29,3.4,3.33,6.22,2.73,1.22,4.53,1.37,4.13,0.86,4.49,4.79,3.59,2.43,2.9,2.04,4.52,1.31,4.62,1.87,5.08,4.53,6.66,4.84,6.5,1.42,8.02,3.04,2.82,2.54,4.16,3.32,4.64,2.75,3.7,1.04,2.48
October,,,,,2.71,3.28,3.04,1.67,3.44,3.53,4.57,3.96,2.04,7.23,1.66,2.22,5.18,6.99,1.41,4.47,1.12,2.98,3.44,1.42,1.26,2.49,5.93,5.41,4.49,0.96,1.6,4.85,1.72,4.55,3.4,3.04,5.29,5.06,5.83,4.86,6.03,3.16,5.7,2.96,5.37,8.24,3.9,3.72,7.68,2.39,3.83,3.12,4.09,6.32,4.3,5.06,0.51,2.02,4.21,5.78,3.09,0.85,3.55,1.95,8.52,2.55,2.66,3.74,2.86,4.46,2.48
November,,,,,3.91,4.28,0.4,2.54,4.79,5.33,6.35,2.98,1.98,2.86,2.09,3.35,4.43,2.3,2.57,1.95,3.86,5.11,3.69,4.62,3.97,1.71,3.3,6.03,3.91,4.09,3.55,3.16,2.21,3.79,2.75,0.97,6.26,3.66,4.27,6.66,5.02,6.25,3.24,1.74,1.4,3.94,4.08,0.63,6.59,7.02,5.32,2.84,0.49,2.16,7.19,0.32,5.33,5.38,3.46,3.98,2.45,6.07,2.18,5.59,5.63,1.83,1.27,1.82,1.69,4.34,4.4
December,,,,,3.68,4.8,3.9,5.34,5.83,2.8,7.05,4.74,4.18,2.73,3.45,3.41,3.64,5.24,3.41,4.43,3.19,4.81,6.01,3.45,5.58,4.84,4.75,2.52,3.98,5.62,3.7,5.52,2.88,3.6,6.16,4.39,1.64,1.14,4.17,9.32,3.97,3.58,7.68,0.61,4.2,2.77,5.56,2.46,2.71,2.15,4.3,1.76,4.54,1.74,4.29,3.15,3.55,2.42,5.18,7.56,1.54,5.15,3.02,4.26,4.7,5.9,4.06,3.54,4.44,6.06,4.5
Total,,,,,,32.51,33.44,37.66,34.61,41.95,46.29,35.82,28.09,53.01,32.24,28,40.59,44.71,31.49,35.17,35.85,32.73,37.67,33.32,33.01,28.55,45.15,34.43,38.71,29.08,41.11,41.12,28.83,41.02,38.78,39.81,44.77,45.04,48.82,41.38,43.23,39.32,41.84,28.79,37.93,41.94,39.07,32.61,48.44,36.44,37.61,30.54,34.18,41.03,41.08,39.4,38,39.23,52.43,42,40.82,38.53,31.55,32.38,49.84,28.69,33.33,37.24,37.25,31.12,37.95
