ABINGDON-WOOTTON-WW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP481007,Long,-1.3053631,Lat,51.702988,Elevation,265,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,828/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.19,4.05,2.6,2.35,2.65,3.83,1.43,1.48,1.24,,,0.74,0.55,2.92,1.32,0.99,1.35,2.27,4.07,1.55,3.34,2.02,3.07
February,,,,,,,,0.53,0.83,1.78,2.08,0.87,0.83,0.98,1.62,1.98,,,0.99,3.81,3.83,0.55,1.17,2.02,1.16,0.36,2.49,2.66,0.14,1.56
March,,,,,,,,0.33,1.37,2.59,2.5,2.35,0.87,0.21,0.71,0.83,,,1.67,0.63,3.68,2.36,0.6,2.09,1.32,0.49,1.5,0.85,2.83,1.04
April,,,,,,,,0.04,2.95,2.12,1.02,0.83,0.66,1.35,1.2,1.4,,,1.03,2.23,2.72,1.4,1.9,0.3,0.51,1.63,0.43,1.2,2.08,0.71
May,,,,,,,,1.67,1.24,1.8,1.35,2.91,2.6,0.61,2.79,3.46,,,2.69,2.26,2.25,1.76,1.65,1.69,4.26,0.33,1.28,1.81,0.85,2.37
June,,,,,,,,0.53,1.7,0.65,2.47,0.24,1.35,1.65,2.89,2.57,,,0.37,,1.38,1.34,3.03,3.92,2.6,2.29,,3.65,0.69,3.06
July,,,,,,,,1.09,4.05,2.4,4.95,1.9,1.11,1.9,2.13,1.15,,,1.25,,1.34,0.29,3.08,2.28,0.19,2.72,,3.23,1.84,4.27
August,,,,,,,,2.77,1.89,0.07,4.06,3.48,2.14,1.5,1.19,4.44,,,0.84,,3.57,2.64,1.66,3.7,0.5,3.19,2.56,3.69,1.57,2.02
September,,,,,,,,1.39,0.69,0.78,0.4,1.12,1.71,2.14,1.93,3.51,,,2.69,,2.68,1.39,1.99,1.8,1.43,2.47,3.42,2.69,0.14,3.43
October,,,,,,,,2.41,4.55,2.63,1.06,3.68,2.37,3.33,2.72,0.88,,,5.63,,0.95,3.81,2.18,1.78,1.65,1.65,2.02,2.8,1.93,5.35
November,,,,,,,,2.54,3.78,6.95,2.98,1.58,1.42,3.73,0.19,3.98,,,2.39,4.19,5.16,3.68,1.62,4.13,1.08,0.78,1.68,3.22,1.87,2.7
December,,,,,,,,2.72,1.38,1.24,0.6,3.18,0.96,1.49,2.53,2.08,,,0.96,0.83,1.71,2.35,0.51,2,3.15,3.35,1.99,2.46,4.45,3.8
Total,,,,,,,,18.21,28.48,25.61,25.82,24.79,19.85,20.32,21.38,27.52,,,21.25,,32.19,22.89,20.38,27.06,20.12,23.33,,31.6,20.41,33.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950 records and is a water works near Wootton. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
