"BELFAST WATER WORKS, ANNALONG VALLEY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,6197/1,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,3.35,5.87,3.43,7.02,3.29,8.49,4.12,7.95,
February,,,,6.84,0.96,3.95,5.78,3.63,6.38,6.19,1.39,
March,,,,2.61,2.35,1.04,2.04,4.66,5.31,1.52,4.40,
April,,,,4.51,4.67,4.11,2.31,1.94,2.23,1.44,2.56,
May,,,,1.94,5.62,6.22,1.99,1.97,1.48,2.59,3.42,
June,,,,1.30,3.78,0.12,3.00,4.22,6.29,2.35,2.68,
July,,,,3.44,6.25,2.90,2.68,3.96,3.56,3.85,4.65,
August,,,,7.29,5.14,3.74,5.49,6.39,4.70,6.87,6.82,
September,,,,3.52,7.48,4.20,2.37,5.19,3.07,0.50,6.38,
October,,,,3.66,3.38,6.03,4.69,5.35,7.76,5.12,6.65,
November,,,,4.58,4.24,2.34,6.47,5.48,7.49,6.51,7.51,
December,,,,5.21,6.05,4.31,0.97,5.02,5.42,7.81,7.87,
Total,,,,48.25,55.79,42.39,44.81,51.10,62.18,48.87,62.28,
Calc annual,0.00,0.00,0.00,48.25,55.79,42.39,44.81,51.10,62.18,48.87,62.28,
Difference,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,
