ASHOPTON-GRIMBO-CARR,,,,,,,,,,,,,,,,,,,,
Grid ref,SK176872,Long,-1.7368799,Lat,53.38136,Elevation,1100,ft.,,,,,,,,,,,,
Station no,RR7349,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,4.2,1.23,2.43,1.84,2.07,1.29,3.66,3.61,2.49,,,,,
February,,,,,,,2.5,1.76,2.41,2,2.88,3.43,1.69,1.37,1.62,,,,,
March,,,,,,,3.1,3.28,2.98,3.43,0.73,1.85,2.99,3.64,3.51,,,,,
April,,,,,,,1.25,2.78,2.82,1.77,3.5,2.55,1.01,2.65,1.6,,,,,
May,,,,,,,2.38,3.59,3.27,2.15,2.5,0.7,3.54,2.21,2.22,,,,,
June,,,,,,,1.54,5.33,2.51,4.36,2.69,2.57,3.94,1.76,3.65,,,,,
July,,,,,,,2.07,2,3.96,4.22,3.39,0.17,6.2,0.94,4.29,,,,,
August,,,,,,,2.76,3.6,3.3,1.61,4.19,1.9,7.1,1.54,1.77,,,,,
September,,,,,,,1.2,0.57,2.7,2.98,0.24,2.7,2.02,2.74,2.82,,,,,
October,,,,,,,5.45,6.42,1.5,4.24,2.46,2.96,3.52,5.63,3.44,,,,,
November,,,,,,,5.3,3.12,2.59,1.07,4.21,4.16,2.31,3.8,5.53,,,,,
December,,,,,,,2.62,2.56,1.94,6.7,6.79,5.78,5.28,2.27,6.19,,,,,
Total,,34.2,28.3,41.8,27.3,30.2,34.37,36.24,32.41,36.37,35.65,30.06,43.26,32.16,39.13,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is near Grimbocar Wood at the stated altitude.,,,,,,,,,,,,,,,,,,,,
NGR could be upto 200m NW or SE,,,,,,,,,,,,,,,,,,,,
