BALCOMBE-GABLES (The Gables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ314301,Long,-0.1264,Lat,51.0559,Elevation,352,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,2.72,5.83,1.52,6.14,1.78,1.84,1.51,3.88,1.81,2.94,5.6,1.2,4.5,2.28,2.11,4.15,5.97,4.35,3.78,5.57,2.01,2.85,4.56,4.85,3.25,6.04,1.77,4.75,2.98,3.82,2.74,3.32,1.47,5.29,,,,
February,,,,1.73,3.85,0.86,3.29,1.7,1.54,0.47,4.91,2.31,3.03,1.37,5.65,5.46,6.55,1.44,1.63,2.86,0.91,0.73,3.37,5.64,0.99,5.61,3.39,5.61,2.34,1.01,1.38,2.72,1.84,3.97,0.37,5.05,2.73,,,,
March,,,,3.64,1.39,4.24,1.73,1.18,3.13,4.42,1.72,2.53,4.95,3.8,6.47,0.96,4.17,2.16,1.17,4.24,2.22,2,2.97,3.01,2.08,1.01,0.52,4.29,3.42,0.05,1.63,0.62,2,3.91,3.56,0.68,2.05,,,,
April,,,,2.51,1.65,2.17,0.83,4.01,2.72,1.63,2.77,2.45,0.09,3.79,1.95,1.97,1.66,2.08,3.42,2.4,3.17,1.23,4,3.08,3.7,3.46,4.35,2.2,2.54,0.97,2.46,4.2,3.47,0.85,3.17,4.19,2.85,,,,
May,,,,2.42,3.92,0.59,1.9,2.55,2.43,1.75,2.52,1.98,1.56,2.59,1.62,3.95,3.01,1.66,1.21,0.58,1.06,1.93,1.14,3.51,4.5,3.64,1.9,1.16,1.56,3.23,3.03,3.22,3.69,1.8,0.9,1.94,0.58,,,,
June,,,,4.31,1.07,4.57,2.03,2.12,1.98,2.8,2.54,2.27,3.6,0.69,0.64,0.67,2.57,1.8,1.41,0.94,1.47,0.04,1.74,0.57,3.64,0.17,4.25,5.18,3.19,1.85,0.82,2.44,2.05,1.94,1.68,3.89,4.57,,,,
July,,,,3.96,0.67,0.37,2.26,1,2.77,3.06,3.15,0.34,1.48,3.2,1.78,4.86,0.99,2.84,7.08,2.17,6.02,0.41,4.7,4.52,5.15,4.51,1.71,3.6,1.66,3.05,2.99,4.01,4.19,2.63,2.54,0.87,4.96,,,,
August,,,,4.6,1.8,3.23,0.86,2.28,4.79,2.98,2.84,2.09,7.13,2.01,1.66,2.5,3.6,7.58,1.35,3.3,1.7,2.18,3.59,1.97,3.57,2.58,2.61,5.88,3.17,3.39,4.77,4.12,0.87,1.4,2.46,4.61,0.67,,,,
September,,,,3.34,2.47,1.99,1.66,0.75,1.36,3.43,0.39,1.77,3.91,2.89,1.34,2.15,2.1,2.4,5.52,1.57,4.61,0.89,2.4,2.22,4.33,2.81,0.77,6.14,1,1.36,3.58,2.36,2.78,3.52,2.24,5.47,2.45,,,,
October,,,,8.07,2.59,1.98,4.96,5.44,2.08,7.37,3.31,4.94,4.29,5.15,2.29,3.51,5.95,5.21,2.17,0.72,1.66,1.61,1.62,7.64,4.35,5.16,2.82,2.89,7.96,4.97,2.22,0.78,8.35,2.44,3.14,5.61,1.99,,,,
November,,,,2.2,1.68,6.3,6.1,2.72,1.51,1.45,4.92,8.06,2.8,4.38,4.6,3.38,5.81,1.99,2.69,2.55,2.46,1.9,2.65,2.62,3.48,4.16,8.06,4.27,3.93,9.5,6.39,5.13,1.93,1.47,4.94,6.85,5.8,,,,
December,,,,2.8,4.05,0.93,2.78,4.11,4.14,5.07,4.45,8.46,4.11,1.8,9.77,9.45,4.13,2.41,3.35,6.36,3.49,2.78,4.64,4.25,6.27,4.18,0.68,5.51,4.09,8.6,3.68,1.07,0.99,0.85,10.31,5.94,3.81,,,,
Total,,,,42.3,30.97,28.75,34.54,29.64,30.29,35.94,37.4,39.01,39.89,37.27,38.97,43.36,42.82,33.68,35.15,33.66,33.12,19.48,38.39,41.04,44.91,41.85,35.91,49.98,40.9,39.75,37.7,33.65,35.98,27.52,38.63,46.57,37.75,,,,
