"COTEFIELD BANBURY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1067,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,3.29,2.41,3.51,1.43,3.78,
February,,,,,,,2.08,2.78,1.82,0.53,0.58,
March,,,,,,,0.47,2.48,1.90,0.03,1.35,
April,,,,,,,3.51,1.38,1.12,1.17,2.23,
May,,,,,,,2.87,0.81,0.76,1.84,2.12,
June,,,,,,,3.60,2.99,2.04,0.94,1.09,
July,,,,,,,2.14,2.22,2.18,1.82,2.76,
August,,,,,,,0.93,3.12,2.43,1.41,2.13,
September,,,,,,,0.97,3.39,0.66,0.63,3.11,
October,,,,,,,2.10,1.63,4.35,3.37,1.58,
November,,,,,,,4.48,2.20,3.22,6.36,3.38,
December,,,,,,,0.45,2.67,2.41,5.58,3.19,
Total,,,,,,,26.89,28.08,26.40,25.11,27.30,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,26.89,28.08,26.40,25.11,27.30,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,
