"BARNWELL LILFORD HALL",,,,,,,,,,,,
Grid ref,TL034839,Long,-0.480175,Lat,52.443293,,,,,,,
Station no,1134,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.26,1.02,0.79,1.93,1.80,0.93,3.65,0.98,1.04,0.77,,
February,5.11,0.78,1.48,0.72,2.85,0.69,1.34,1.07,1.11,0.42,,
March,0.49,2.45,1.20,2.92,1.28,2.11,1.52,0.85,2.67,3.48,,
April,0.82,2.09,1.18,1.48,0.86,1.53,0.55,2.87,2.61,1.28,,
May,1.21,1.49,2.44,1.96,1.86,0.92,1.68,4.81,1.59,1.34,,
June,1.64,1.65,2.43,3.04,0.65,2.77,4.91,1.25,0.93,2.93,,
July,1.20,2.35,1.10,3.14,2.68,0.62,0.71,2.52,2.53,2.42,,
August,3.28,1.92,2.40,3.80,1.61,3.03,1.65,1.98,2.71,1.98,,
September,0.47,1.33,1.69,2.21,1.88,1.91,1.42,0.68,1.59,2.01,,
October,1.38,2.02,1.74,5.53,0.78,1.19,3.81,2.92,1.46,3.56,,
November,1.70,0.98,1.79,1.75,1.01,2.71,4.14,2.19,0.79,0.35,,
December,3.37,3.37,1.12,0.97,1.55,0.82,2.76,2.94,1.48,3.61,,
Total,23.93,21.45,19.36,29.45,18.81,19.23,28.14,25.06,20.51,24.15,,
Calc annual,23.93,21.45,19.36,29.45,18.81,19.23,28.14,25.06,20.51,24.15,,
Difference,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,,
