BEAFORD-GREAT-WARHAM,,,,,,,,,,
Grid ref,SS531146,Long,-4.08974,Lat,50.91225,Elevation,280,ft,,
Station no,1854/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.8,4.87,5.5,4.47
February,,,,,,,5.45,4.54,0.39,3.88
March,,,,,,,4.42,1.21,3.7,2.11
April,,,,,,,0.58,1.06,3.35,3.19
May,,,,,,,2.22,3.13,1.74,1.98
June,,,,,,,2.62,3.21,1.46,1.56
July,,,,,,,3.76,3.53,3.21,5.42
August,,,,,,,3.33,5.04,1.6,5.08
September,,,,,,,5.17,5.83,0.3,7.15
October,,,,,,,4.47,3.86,5.78,9.07
November,,,,,,,2.65,3.62,8.92,7.45
December,,,,,,,2.11,4.33,8.71,7.89
Total,,,,,,,40.58,44.23,44.66,59.25
,,,,,,,,,,
1957 Station transferred from Goodleigh Chelfham Mill Stn No 1846/5,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Great Warham SRC_ID 8864,,,,,,,,,,
1957-1963,,,,,,,,,,
