BILLINGSHURST (THE NOOK),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,460,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,2.11,3.79,2.49,2.49,,,,,,,,
February,2.40,0.47,2.84,0.06,,,,,,,,
March,0.62,1.60,3.32,2.64,,,,,,,,
April,3.29,2.32,0.51,2.60,,,,,,,,
May,2.41,3.91,2.10,0.55,,,,,,,,
June,1.49,1.57,1.48,1.04,,,,,,,,
July,3.02,2.96,2.33,3.50,,,,,,,,
August,4.81,0.38,0.75,2.61,,,,,,,,
September,1.98,1.98,4.11,1.91,,,,,,,,
October,0.41,6.77,1.68,2.20,,,,,,,,
November,4.37,1.28,0.88,3.99,,,,,,,,
December,1.02,0.76,0.76,8.12,,,,,,,,
Total,27.93,27.79,23.25,31.71,,,,,,,,
Calc annual,27.93,27.79,23.25,31.71,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
