"BIRMINGHAM (SPARKHILL)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2477,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,3.87,3.41,5.50,3.03,2.15,2.30,2.26,4.65,1.61,0.68,,
February,2.87,1.06,1.82,1.56,2.49,2.35,1.86,1.47,0.85,5.01,,
March,2.50,2.12,0.98,0.27,0.90,0.99,6.45,1.28,1.53,1.10,,
April,1.61,1.40,0.85,1.91,0.91,2.87,2.45,1.62,2.27,2.02,,
May,2.96,3.42,3.76,0.87,2.69,2.93,2.29,2.67,2.43,1.52,,
June,1.04,0.12,1.63,1.61,3.10,2.63,2.09,3.07,0.38,1.76,,
July,3.39,2.32,0.83,2.36,1.97,1.64,3.22,1.53,1.91,2.71,,
August,3.93,3.55,1.74,2.13,1.76,5.62,0.59,3.99,1.71,3.77,,
September,0.68,1.25,1.61,3.64,1.34,3.76,1.32,3.13,1.36,4.40,,
October,2.62,2.58,2.23,3.23,3.93,0.45,0.52,2.79,5.79,0.68,,
November,3.17,1.46,1.74,4.92,0.47,6.39,1.66,1.53,3.51,4.17,,
December,1.65,2.97,1.15,1.85,3.36,2.77,2.38,5.07,1.44,1.72,,
Total,30.29,25.66,23.84,27.38,25.07,34.70,27.09,32.80,24.79,29.54,,
Calc annual,30.29,25.66,23.84,27.38,25.07,34.70,27.09,32.80,24.79,29.54,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
