BIRMINGHAM-WW-ELAN-VILLAGE-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN931649,Long,-3.5680922,Lat,52.271827,Elevation,700,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,6.01,2.04,5.97,8.73,4.78,7.5,4.47,2.64,6.4,6.11,7.9,7.24,8.53,6.39,5.16,6.61,8.3,8.08,11.25,1.96,10.21,6.85,9.67,6.27,6.68,2.66,8.42,9.97,10.04,9.52,3.82,4.73,6.28,10.9,6.46,4.42,7.11,5.77,14.17,2.95,2.14,6.22,8.41,1.99,5.03,4.57,8.51,5.11,6.5,7.81,8.28
February,7.67,4.05,3.77,2.83,8.8,10.1,8.41,1.14,5.01,4.03,3.61,0.3,6.4,13.31,1.11,10.28,3.82,5.03,6.22,1.85,0.89,6.41,0.17,6.6,0.5,7.46,3.57,8.87,3.31,6.68,4.52,5.75,1.14,4.77,2.11,6.11,9.52,2.6,4.23,2.73,9.86,5.95,2.82,2.43,5.2,3.4,1.04,6.63,9.09,0.49,7.92
March,2.15,2.83,10.25,8.66,9.86,1.47,3.93,3.94,3.33,8.35,8.35,5.71,3.97,2.75,2.23,2.32,1.69,6.31,4.5,0.43,3.68,1.71,4.01,4.04,5.55,2,3.77,4.21,1.01,3.91,3.76,4.06,4.22,1.51,0.66,1.98,1.26,12.56,3.45,2.85,2.97,6.39,2.49,4.76,4.7,4.92,4.12,4.79,1.59,4.83,2.94
April,4.59,2.64,0.78,8.53,2.67,2.07,4.69,3.28,1.93,3.61,8.87,1.82,4.72,3.98,5.45,4.63,3.08,3.47,2.12,1.13,4.43,4.86,6.37,0.98,4.11,7.54,3.68,3.96,0.52,4.14,3.63,1.82,4.17,1.82,1.88,2.63,1.86,4.81,3.8,4.78,4.82,5.2,3,4.35,1.33,3.31,2.32,0.16,1.42,6.02,5.39
May,3.26,1.83,1.97,3.31,3.01,3.71,4.69,4.24,3.88,0.78,4.98,2.49,1.06,4.64,5.08,5.24,3.07,2.12,0.88,3.88,3.47,5.79,5,1.76,2.68,1.99,1.87,2.04,4.77,1.26,2.54,4.07,8.3,5.34,3.05,3.76,3.38,4.04,3.69,5.34,1.6,3.83,3.88,2.7,3.75,6.47,0.76,3.01,4.29,2.3,2.34
June,7.13,4.58,6.16,3.41,2.11,1.74,2.86,2.74,2.39,3.31,3.52,0.84,1.91,0.58,3.02,0.16,2.64,6.92,5.91,3.33,1.89,3.78,2.07,4.82,2.27,4.72,6.05,1.69,4.76,2.75,0.84,1.6,1.04,3.35,2.33,6.13,4.4,2.77,5.65,0.79,1.72,1.02,3.57,1.67,6.25,6.62,2.77,2.23,3.92,3.08,2.78
July,5.2,0.74,4.34,1.27,5.54,6.15,2.85,1.99,4.76,1.58,5.88,2.44,6.86,4.33,6.33,3.67,7.65,6.83,3.3,3.49,5.88,4.81,6.42,3.54,2.26,0.98,7.09,2.87,5.41,8.48,6.65,2.66,4.39,3.12,2.92,2.68,3.19,3.28,2.62,1.41,4.43,1.93,2.09,4.99,4.35,0.8,4.28,5.59,4.91,4.69,5.21
August,6.43,7.25,11.1,1.7,3.62,4.63,4.17,12.09,2.61,4.23,1.97,6.39,3.34,5.41,5.68,5.91,5.27,9.27,6.14,2.46,6.66,5.57,1.38,1.46,6.35,1.87,0.82,1.02,3.8,4.25,1.05,7.83,4.18,5.61,3.61,4.17,7.22,0.52,4.87,2.75,7.37,4.93,5.21,4.19,5.64,1.47,7.18,8.03,3.92,0.64,4.34
September,0.4,3.87,0.9,3.62,3.17,0.91,3.74,2.97,11.85,2.56,4.36,1.69,4.68,5.56,8.11,4.22,3.6,6.16,1.66,2.43,7.17,2.43,4.44,1.22,3.81,11.1,4.42,2.73,1.54,1.04,2.94,1.56,3.75,7.22,4.27,4.07,9.33,2.88,5,3.04,9.35,4.51,4.29,6.07,6.27,3.17,5.9,11.37,8.68,0.19,4.51
October,5.6,5.55,6.34,6.46,3.15,3.29,10.54,8.73,4.28,2.69,5.78,2.32,1.46,9.98,6.84,7.16,5.64,4.82,7.88,8.19,8.46,2.29,10.28,7.34,5.68,9.01,4.4,3.8,8.71,3.54,6.92,5.88,5.53,6.5,9.79,5.51,2.88,1.08,4.16,7.71,2.9,1.32,6.7,3.72,8.25,4.46,3.46,4.65,5.59,7.4,7.52
November,8.54,6.89,5.57,8.03,8.38,5.23,5.34,5.59,4.47,4.12,2.24,4.64,2.57,5.96,4.48,4.12,9.84,3.87,10.65,14.05,7.46,9.82,5.55,1.57,2.74,8.59,6.68,1.85,9.31,12.91,13.53,4.77,0.92,6.11,8.15,1.15,11.88,6.31,3.28,8.48,7.59,12.39,4.51,5.1,11.89,5.25,3.62,3.96,3.34,6.83,11.03
December,11.75,14.15,8.57,4.24,12.09,12.86,4.1,2,10.1,11.63,5.08,5.85,6.81,5.22,8.81,6.29,1.87,3.93,4.74,14.94,7.79,3.55,4.01,1.68,12.28,5.68,9.11,4.66,6.62,4.13,5.92,5.36,8.09,3.22,6.14,6.79,7.19,5.31,11.44,9.23,4.25,7.99,6.03,1.99,6.43,6.08,7.06,5.02,5.09,12.03,8.53
Total,68.73,56.42,65.72,60.79,67.18,59.66,59.79,51.35,61.01,53,62.54,41.73,52.31,68.11,62.3,60.61,56.47,66.81,65.25,58.14,67.99,57.87,59.37,41.28,54.91,63.6,59.88,47.67,59.8,62.61,56.12,50.09,52.01,59.47,51.37,49.4,69.22,51.93,66.36,52.06,59,61.68,53,43.96,69.09,50.52,51.02,60.55,58.34,56.31,70.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is in Elan Village. Altitudes match. Gauge moved about 400 W in about 1918 according to note on record.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 1947 estimated for snow; left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
