BISHOPS CANNINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU043644,Long,-1.939605,Lat,51.378636,Elevation,446,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.9,5.6,2.03,4.56,2.02,3.16,0.66,2.05,1.45,2.61,3.33,2.59,3.93,2.53,1.1,0.84,3.05,2,0.87,2.38,2.25,3.53,0.87,2.18,0.49,4.63,3.01,1.6,1.18,3.1,3.54,0.7,3.97,1.04,2.02,0.76,2.8,1.06,4.28,4.15,0.59,4.68,1.33,1.26,3.14,4.18,3.66,3.71,3.41,1.75,3.74,2.87,3.2,3.54,4,1.36,3.76,1.9,2.55,2.45,2.19,0.86,4.01,4.96,3.2,5.19,2.46,2.39,2.96,5.26,1.79,1.58,2.31,1.94,5.95,1.1,0.44,2.95,2.03,0.82,1.56,2.91,4.62,2.19,2.79,4.38,3.6
February,,,,,2.32,2.22,3.07,1.71,1.71,3.67,3.43,3.52,2.05,4.65,1.71,3.46,0.78,0.85,0.88,1.9,0.73,0,1.75,4.3,2.69,0.26,0.5,3.1,2,3.06,4.7,1.21,1.1,1.93,3.13,0.73,2.75,1.24,1.25,0.44,3.73,1.97,2.48,1.19,2.93,5.06,4.37,1.3,1.29,2.29,1.28,0.41,3.39,5.54,0.09,4.09,1.76,3.68,2,1.02,0.82,2.74,0.1,3.57,0.13,2.6,2.43,6.33,1.14,1.33,3.11,2.84,1.02,1.2,1.03,2.79,2.92,1.24,1.25,1.41,4.98,4.76,0.68,1.39,3.21,1.43,0.18,3.15,3.24,0.27,2.15
March,,,,,0.77,1.16,3.77,2.56,1.32,0.84,1.79,2.14,1.98,1,2.23,1.11,2.05,2.2,3.6,2.42,1.26,1.83,0.68,0.4,2.03,2.67,3.58,4.06,0.81,0.46,1.61,2.34,1.89,3.72,1.57,4.28,1.79,0.89,3.4,4.11,0.85,2.4,4.68,2.76,4.51,1.59,3.6,2.9,1.08,4.85,2.3,1.62,2.57,2.45,1.12,0.39,0.74,3.07,2.22,0.38,2.07,0.52,2.23,2.84,2.19,1.08,3.41,3.63,0.27,1.67,2.28,3.45,2.21,1.05,0.43,1.15,0.97,5.29,1.11,1.26,0.91,3.52,2.9,0.41,2.57,1.32,0.81,2.12,1.53,3.6,1.67
April,,,,,1.39,1.67,3.18,2.97,2.42,3.02,2.08,0.83,4.36,0.9,1.86,2.18,3.43,1.16,2.31,3.24,1.76,1.49,0.71,0,2.08,2.6,1.17,2.25,1.81,3.15,2.3,2.42,1.38,3.23,1.52,3.02,1.04,4.13,3.22,1.59,2.37,1.18,0.06,3.13,1.56,1.41,0.82,1.75,3.76,2.45,5.8,0.76,3.73,2.56,3.12,2.11,3.08,1.93,1.75,0.91,3.07,2.97,3.5,1.5,2.42,4.9,2.6,4.16,0.22,3.65,2.7,1.56,1.38,1,1.71,0.86,2.25,2.32,1.45,1.34,2.51,2.88,1.5,2.18,0.36,0.85,1.54,0.24,1.12,2.31,1.7
May,,,,,0.35,3.23,0.89,2.51,4.78,3.26,0.93,1.39,1.78,2.21,1.45,2.99,3.49,1.61,1.15,1.98,1.82,2.73,1.09,1.38,1.6,1.08,0.27,1.13,3.2,2.64,1.6,1.8,2.59,4.18,3.03,0.33,2.61,2.27,2.02,1.11,1.86,0.85,1.6,2.65,1.77,3.29,1.56,2,2.02,0.82,2.64,2.01,1.06,1.5,4.98,3.41,3.51,1.09,1.13,1.99,2.23,3.36,5.33,2.04,0.93,1.24,0.99,2.25,1.85,1.48,1.44,1.49,5.17,2.77,0.82,2.37,4.17,2.05,3.92,2.63,2.3,2.2,3.96,1.69,2.42,5.14,0.39,1.58,2.9,0.62,1.14
June,,,,1.44,1.63,3.67,1.29,0.82,4.02,5.29,1.87,2.81,5.02,2.25,3.1,1.92,0.6,1.31,4.6,1.23,3.41,1.22,1.72,2.34,2.82,0.95,1.55,3.69,1.67,1.86,2.27,1.95,3.07,4.85,1,3.86,3.06,2.59,1.32,3.35,3.87,1.84,3.42,0.72,1.82,1.82,2.48,2.99,1.47,1.34,2.88,0.29,1.65,0.54,2.3,0.07,2.52,3.16,2.99,1.41,2.06,3.07,1.34,1.69,1,6.01,3.06,1.5,1.85,2.59,0.59,2.2,0.4,2.41,2.25,4.06,2.64,1.89,2.31,0.47,1.83,1.09,1.93,1.49,4,2.75,1.87,1.71,3.21,0.86,3.94
July,,,,2.74,1.69,5.22,0.34,4.15,2.94,4.19,3.86,2.15,3.74,3.08,3.1,0.3,2.61,1.21,4.72,4.25,3.44,2.45,2.3,4.09,4.38,4.25,1.71,1.3,0.53,0.53,2.31,2.74,1.11,2.85,3.18,1.45,1.06,2.3,2.06,3.02,2.3,0.04,2.13,2.1,3.94,4.39,1.08,3.89,6.27,2.32,5.32,0.5,3.95,1.28,3.99,4.62,2.28,4.25,2.57,1.94,3.17,4.61,5.77,2.86,2.21,0.64,4.58,1.78,2.45,4.69,3.1,2.66,2.26,2.19,2.44,1.52,0.91,1.98,0.77,1.43,5.41,1.04,0.35,3.29,2.77,1.11,2,3.45,3.3,2.63,3.51
August,,,,2.58,-999,1.18,4.15,4.58,6.06,6.05,0.87,5.42,3.39,1.63,1.41,1.97,1.36,2.01,1.95,3.51,2.36,7.25,4.37,1.98,2.6,3.34,4.31,4.82,1.87,1.38,2.6,2.21,3.43,3.47,2.96,6.05,1.55,3.09,4.08,2.7,3.89,2.05,5.45,2.6,2.94,2.51,5.53,5.95,2.28,3.02,1.42,1.75,4.17,2.8,3.07,2.9,1.52,4.44,2.8,2.03,2.96,4.42,1.01,1.14,3.09,2.4,0.76,0.93,4.17,2.54,0.07,6.31,5.25,3.55,3.74,2.17,4.57,0.52,2.93,1.61,2.66,5.35,4.16,3.07,4.28,0.23,3.75,3.2,3.18,1.46,3.84
September,,,,2.12,-999,3.32,6.31,2.88,2.38,3.29,3.39,2.28,3.59,5,1.76,5.16,2.17,2.71,1.94,1.35,1.91,2.06,2.75,1.35,2.01,1.3,5.9,2.5,0.98,3.21,0.86,1.84,1.57,2.5,2.06,1.39,1.24,0.73,2.43,3.05,0.24,1.03,1.37,3.11,1.41,1.78,1.41,1.88,6,1.83,1.87,1.86,1.9,3.65,3.59,3.37,0.99,5.98,1.49,0.41,3.66,2.2,3.91,2.9,2.59,5.49,2.92,3.14,2.8,0.92,1.68,0.9,1.9,1.64,2.31,2.49,4.31,1.36,2.32,1.07,3.85,3.01,2.09,3.87,2.96,1.16,2.91,3.11,3.91,0.22,4.09
October,,,,1.92,3.68,7.11,1.46,2.01,,1.37,5.04,1.34,6.41,2.46,0.74,4.69,5.36,2.38,1.25,2.45,1.23,6.32,3.82,4.36,3.92,3.97,2.94,1.46,4.73,2.39,3.12,1.62,1.78,6.97,1.37,1.78,5.47,5.81,1.38,4.58,4.31,1.99,3.94,2.45,3.06,4.19,5.74,5.6,1.96,1.45,2.4,1.27,1.2,5.23,5.28,3,2.8,2.17,4.77,4.61,2.56,0.73,5.51,2.21,2.16,5.36,2.21,4.48,4.51,4.26,3.4,2.42,4.74,3.36,4.77,3.53,1.4,0.52,4.41,6.75,0.83,0.56,3.55,3.02,2.58,1.72,1.86,2.43,2.56,2.28,7.05
