SMITHILLS MOOR NEW G,,,,,,,,,,
Grid ref,SD658140,Long,-2.518523,Lat,53.621414,Elevation,1375,ft,,
Station no,2868/6,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,5.39,1.9,4.6,4.2,6.7,,,,
February,,0.12,4,1.65,7.3,3.2,,,,
March,,3.25,3.14,4,2.16,4.77,,,,
April,,3.38,2.26,3.5,3.9,1.55,,,,
May,,4.85,2.75,4.6,1.78,1.1,,,,
June,,0.42,4.23,3.1,5.55,5.45,,,,
July,,3.52,3.19,3.1,2.63,7.2,,,,
August,3.8,1.8,3.22,7,2.7,4.35,,,,
September,4.64,4.85,1.03,4.7,8.55,6.1,,,,
October,3.64,8.35,4.37,8.6,11.2,6.8,,,,
November,8.53,3.8,4.1,3.5,5.9,7.7,,,,
December,2.06,2.1,0.04,8.7,4.6,5.98,,,,
Total,,41.83,34.23,57.05,60.47,60.9,,,,
,,,,,,,,,,
1934 April mistranscription,,,,,,,,,,
Station also RR4078,,,,,,,,,,
ERROR_TYRain_1931-1940_17_pt1-page-092.csv,,,,,,,,,,
