"BOLTON W.W., DELPH",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2874,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,6.29,5.81,13.81,3.22,7.15,
February,,,,,,,5.44,2.52,6.29,1.75,0.53,
March,,,,,,,2.73,7.41,3.72,2.13,3.45,
April,,,,,,,2.17,4.22,1.52,1.72,2.84,
May,,,,,,,4.46,1.83,1.38,3.94,3.30,
June,,,,,,,3.19,6.17,8.22,2.27,2.42,
July,,,,,,,3.97,5.69,3.25,4.35,6.21,
August,,,,,,,6.00,8.62,7.66,7.30,8.48,
September,,,,,,,5.38,7.24,1.42,2.96,4.54,
October,,,,,,,4.38,5.72,7.32,9.05,8.30,
November,,,,,,,8.42,6.27,8.85,10.41,8.64,
December,,,,,,,2.65,1.72,4.41,9.51,5.55,
Total,,,,,59.33,52.59,55.08,63.22,67.85,58.61,61.41,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,55.08,63.22,67.85,58.61,61.41,
Difference,NaN,NaN,NaN,NaN,59.33,52.59,-0.00,0.00,0.00,0.00,0.00,
