"BOLTON W.W., MOORSIDE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2884,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,5.85,5.10,13.53,2.79,6.68,
February,,,,,,,5.15,2.60,5.52,1.53,0.64,
March,,,,,,,2.20,5.60,3.78,1.85,3.55,
April,,,,,,,2.05,4.05,1.48,1.28,3.01,
May,,,,,,,4.40,1.65,1.40,3.55,2.63,
June,,,,,,,3.20,5.20,7.48,1.84,2.58,
July,,,,,,,3.96,4.90,2.46,4.83,6.30,
August,,,,,,,5.05,7.36,7.30,6.64,8.60,
September,,,,,,,4.33,7.20,1.02,2.74,4.33,
October,,,,,,,4.38,5.40,6.58,8.66,7.91,
November,,,,,,,9.00,6.10,9.35,10.10,8.27,
December,,,,,,,1.85,1.68,3.78,9.10,5.34,
Total,,,,,54.08,46.58,51.42,56.84,63.68,54.91,59.84,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,51.42,56.84,63.68,54.91,59.84,
Difference,NaN,NaN,NaN,NaN,54.08,46.58,0.00,0.00,0.00,-0.00,0.00,
