"SEATHWAITE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,14.08,11.95,32.14,28.64,20.82,22.88,10.91,25.65,17.06,3.34,,
February,13.67,15.99,17.53,3.05,10.50,3.45,16.21,14.42,11.74,7.93,,
March,9.51,10.26,11.23,7.30,14.24,5.66,12.80,7.74,8.06,12.14,,
April,6.50,6.36,5.08,1.76,4.72,4.53,6.04,5.43,4.19,4.76,,
May,14.49,2.63,9.54,5.58,2.82,7.80,2.05,10.92,9.30,4.67,,
June,6.41,2.82,12.30,7.78,3.02,10.90,8.34,10.51,6.13,9.93,,
July,1.75,12.57,5.90,16.96,7.20,5.15,6.05,15.45,3.11,13.60,,
August,2.68,9.10,9.34,18.73,18.60,7.87,9.77,11.79,9.51,12.99,,
September,12.70,5.53,20.85,13.70,16.06,14.45,8.23,8.98,15.06,16.67,,
October,24.17,6.24,19.13,21.23,30.18,10.08,7.32,22.92,16.16,8.03,,
November,8.03,9.91,18.64,10.06,13.29,12.10,8.00,28.47,5.82,3.87,,
December,7.21,21.79,20.37,11.74,7.34,13.93,18.31,18.12,5.74,12.77,,
Total,121.20,115.15,182.05,146.53,148.79,118.80,114.03,180.40,111.88,110.70,,
Calc annual,121.20,115.15,182.05,146.53,148.79,118.80,114.03,180.40,111.88,110.70,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
