BOTLEY HEDGE END,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8414,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,3.43,1.47,4.11,5.94,0.68,4.31,1.68,1.30,4.16,,,
February,4.02,1.92,2.75,1.36,4.64,5.77,5.23,1.29,1.76,,,
March,0.96,2.30,4.15,3.75,4.96,0.89,3.76,3.76,1.06,,,
April,2.66,1.93,0.09,3.22,1.69,1.29,0.87,3.21,2.43,,,
May,1.64,2.03,1.38,2.95,1.39,3.82,1.43,2.36,1.53,,,
June,3.48,2.01,4.39,0.58,0.54,1.65,1.91,3.31,1.20,,,
July,2.15,0.10,3.11,1.56,2.73,4.36,1.08,3.15,4.74,,,
August,2.33,0.92,6.04,2.71,2.53,2.39,3.64,5.57,2.53,,,
September,0.18,1.12,2.55,2.30,1.50,3.61,2.48,1.63,6.02,,,
October,4.23,4.46,3.96,5.08,2.63,4.18,5.73,5.06,1.73,,,
November,3.91,4.56,2.38,3.88,3.94,3.32,4.79,1.01,2.76,,,
December,4.98,9.34,4.76,2.01,9.83,8.87,4.52,1.16,2.85,,,
Total,33.97,32.16,39.67,35.34,37.06,44.46,37.12,32.81,32.77,,,
Calc annual,33.97,32.16,39.67,35.34,37.06,44.46,37.12,32.81,32.77,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,,
