"BRADFORD THE EXCHANGE",,,,,,,,,,,,
Grid ref,SE416432,Long,-1.368633,Lat,53.883330,,,,,,,
Station no,RR1327,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.11,2.43,1.95,3.62,3.44,0.98,4.50,1.45,,,,
February,4.83,1.37,1.98,4.28,4.06,1.65,3.08,2.22,,,,
March,0.71,3.73,1.51,5.93,1.12,2.63,2.40,2.19,,,,
April,1.46,2.69,2.41,2.12,1.74,1.83,0.84,2.06,,,,
May,1.17,1.49,3.59,5.31,2.68,0.58,3.06,3.16,,,,
June,2.81,0.92,2.23,1.45,1.50,1.89,2.42,3.83,,,,
July,3.03,2.27,3.02,5.20,2.64,1.42,1.72,3.12,,,,
August,4.52,2.16,4.35,3.64,2.89,4.37,2.40,1.89,,,,
September,0.70,1.58,1.85,5.23,0.55,1.71,0.74,0.73,,,,
October,4.03,2.48,4.07,12.15,0.48,2.74,4.11,6.21,,,,
November,4.41,5.02,3.36,1.44,3.08,5.47,3.36,3.85,,,,
December,4.27,6.70,5.08,0.83,2.01,0.48,2.98,4.11,,,,
Total,36.05,32.84,35.40,51.20,26.19,25.75,31.61,34.82,,,,
Calc annual,36.05,32.84,35.40,51.20,26.19,25.75,31.61,34.82,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,NaN,NaN,,
