BREADSALL-PRIORY-MONTHLY-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SK381414,Long,-1.4341517,Lat,52.968612,Elevation,380,ft.,,,,,,,,,,,,
Station no,2662/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,2.97,3.9,1.78,1.22,1.93,,,,,,
February,,,,,,,,,,1.44,3.77,1.33,1.83,0.96,,,,,,
March,,,,,,,,,,1.25,0.68,2.1,1.62,3.38,,,,,,
April,,,,,,,,,,2.68,1.14,1.52,2.09,1.75,,,,,,
May,,,,,,,,,,2.94,1.67,1.14,2.72,3.43,,,,,,
June,,,,,,,,,,2.62,3.9,1.95,1.62,1.2,,,,,,
July,,,,,,,,,,1.89,4.63,3.9,1.37,1.97,,,,,,
August,,,,,,,,,,0.68,4.88,1.63,2.72,4.78,,,,,,
September,,,,,,,,,0.48,2.9,0.77,0.9,1.28,2.8,,,,,,
October,,,,,,,,,2.98,2.86,2.68,1.83,2.68,5.74,,,,,,
November,,,,,,,,,2.4,1.43,2.54,2.25,1.78,2.1,,,,,,
December,,,,,,,,,1.98,2.5,4.27,5.7,1.7,1.19,,,,,,
Total,,,,,,,,,,26.16,34.83,26.03,22.63,31.23,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is Breadsall Priory. Altitudes match. Observers are all the Haslam family who owned the Priory. The gauge position for the 1930s to 1950s may differ to the earlier records given the time gap in the records.,,,,,,,,,,,,,,,,,,,,
