"BROADHEMPSTON (SNEYDHURST)",,,,,,,,,,,,
Grid ref,SX803661,Long,-3.688520,Lat,50.482454,,,,,,,
Station no,1697/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.21,4.14,0.90,1.96,6.37,4.76,5.04,5.05,6.75,4.85,,
February,4.93,0.37,1.89,4.05,4.19,0.27,6.44,4.02,0.40,5.87,,
March,4.61,3.87,0.61,4.05,2.04,1.66,4.21,2.20,5.40,3.90,,
April,1.89,4.52,2.97,0.14,1.39,0.74,0.45,0.69,4.23,2.66,,
May,2.41,2.35,4.46,2.04,4.29,0.77,2.76,3.61,1.44,2.58,,
June,0.89,1.60,1.94,3.07,2.98,2.62,1.77,3.21,1.90,1.44,,
July,1.88,1.15,2.59,2.16,2.64,2.96,3.59,4.28,1.54,3.88,,
August,4.97,4.34,2.02,4.09,0.42,3.66,2.76,3.93,2.80,4.39,,
September,4.26,4.20,3.73,3.72,1.07,8.35,3.88,5.61,0.10,8.38,,
October,1.03,5.68,3.75,3.91,3.23,1.59,2.88,4.18,3.61,-999.00,,
November,6.55,6.11,2.18,8.99,4.21,1.13,2.38,2.58,8.27,7.70,,
December,3.59,3.76,0.72,3.75,7.08,6.54,3.73,5.33,10.46,4.98,,
Total,42.22,42.09,27.76,41.93,39.91,35.05,39.89,44.69,46.90,61.33,,
Calc annual,42.22,42.09,27.76,41.93,39.91,35.05,39.89,44.69,46.90,50.63,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,10.70,,
