"BROUGH, BRANTINGHAMTHORPE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1496,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,0.10,1.80,2.75,2.78,3.26,2.84,3.58,1.83,0.98,1.50,,
February,2.35,3.90,1.32,3.01,2.41,2.35,1.09,0.70,2.10,1.29,,
March,2.25,3.02,2.18,1.94,2.11,1.65,2.57,1.56,3.86,3.14,,
April,3.03,1.27,4.25,2.18,1.78,2.32,1.42,1.22,2.48,3.49,,
May,1.65,0.51,1.52,2.43,0.60,2.31,5.81,2.40,0.62,6.32,,
June,1.30,2.13,4.60,3.20,0.56,2.70,0.91,0.00,2.32,0.38,,
July,5.30,3.25,2.80,5.16,2.64,0.82,2.87,1.68,6.26,0.95,,
August,2.54,5.95,3.74,1.59,0.56,2.03,2.52,1.75,2.28,3.94,,
September,5.03,3.36,1.59,5.01,2.25,2.47,1.12,3.07,2.09,1.22,,
October,8.03,3.50,6.25,3.75,1.00,6.52,3.93,2.71,1.35,5.37,,
November,2.65,2.32,3.02,2.72,1.05,2.60,1.89,2.41,3.95,0.41,,
December,3.45,2.44,6.73,1.85,2.69,1.20,4.37,1.30,2.25,1.49,,
Total,37.68,33.45,40.75,35.62,20.91,29.81,32.08,20.63,30.54,29.50,,
Calc annual,37.68,33.45,40.75,35.62,20.91,29.81,32.08,20.63,30.54,29.50,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
