BURNHAM-FAIR-VIEW,,,,,,,,,,,,,,,,,,,,
Grid ref,SU933827,Long,-0.656226,Lat,51.535504,Elevation,162,ft,,,,,,,,,,,,
Station no,RR6277,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,0.78,1.72,0.96,2.53,2.95,0.88,0.74,,,,,,,
February,,,,,,,0.39,2.87,1.52,2.04,4.03,1.52,1.05,,,,,,,
March,,,,,,,3.43,3.65,0.91,0.54,0.72,1.51,1.54,,,,,,,
April,,,,,,,0.32,1.69,1.39,2.42,0.62,2.15,0.77,,,,,,,
May,,,,,,,0.31,1.74,1.81,2.47,1.42,0.52,2.67,,,,,,,
June,,,,,,,1.71,3.59,1.04,1.9,2.21,1.24,3.38,,,,,,,
July,,,,,,,1.05,0.69,0.91,0.46,0.5,1.7,,,,,,,,
August,,,,,,,1.84,2.34,0.67,0.51,3.15,2.22,,,,,,,,
September,,,,,,,6.45,2.56,0.59,2.04,0.67,1.27,,,,,,,,
October,,,,,,,2.95,1.03,2.5,2.68,2.13,2.3,,,,,,,,
November,,,,,,,1.08,0.83,2.04,3.65,2.09,0.38,,,,,,,,
December,,,,,,,3.43,2.52,2.2,1.41,2.45,3.68,,,,,,,,
Total,,,,,,,23.74,25.23,16.54,22.65,22.94,19.37,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1902 Jul Gauge moved,,,,,,,,,,,,,,,,,,,,
