CAMBRIDGE-PINEHURST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL438579,Long,0.10272,Lat,52.20058,Elevation,36,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,1.45,1.45,1.98,1.01,1.78,0.95,2.16,2.51,0.47,0.43,1.8,1.39,1.14,2.86,1.26,0.89,0.79,1.47,1.52,3.08,2.13,1.32,2.99,1.04,1.45,2.5,3.72,1.95,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,2.51,1.55,0.29,0.58,2.11,0.7,1.15,2.79,0.6,1.03,0.55,2.32,1.33,1.86,1.2,1.1,0.24,2.18,0.85,1.09,0.53,1.14,2.04,3.74,0.59,0.89,3.13,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,0.25,0.78,1.57,3.12,2.28,1.4,0.83,0.6,1.93,0.86,2.17,1.46,2.08,1.69,0.93,1.96,2.72,0.71,1.42,2.2,1.66,3.2,1.3,3.14,2,0.78,2.59,1.66,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,0.15,1.29,0.89,0.91,1.51,1.23,2.26,0.73,2.15,1.01,1.53,0.82,1.6,0.93,2.58,2.54,1.63,2.27,0.77,0.18,1.56,0.74,0.82,1.38,1.65,3.65,2.27,3.44,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,0.81,2.19,1.15,0.31,1.57,2.55,1.64,1.25,0.91,4.02,2.98,1.47,1.24,1.41,3.35,1.4,1.41,2.25,0.7,1.33,1.74,1.09,1.63,1.69,1.35,2.35,0.25,1.56,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,0.86,1.88,0.99,1.85,2.26,2.33,1.29,2.28,1.89,1.86,3.71,1.03,3.16,3.66,1.73,1.42,3.04,1.54,2.56,2.64,2.15,2.16,1.68,1.61,1.79,1.1,1.36,1.32,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,3.65,3,3.84,0.74,0.4,1.31,1.16,1.11,1.63,0.89,5.07,2.3,1.08,0.58,1.97,2.9,2.89,1.88,0.49,1.79,1.2,1.61,3.63,1.98,5.17,2.64,3.15,2.84,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,4.43,2.84,5.09,2.23,3.32,1.98,0.57,2.36,1.82,2.58,3.34,1.78,2.88,0.8,1.73,2.18,1.84,1.79,0.76,7.12,1.47,1.95,3.12,2.65,3.21,0.82,2.09,0.84,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,0.83,1.95,0.73,4.47,3.34,0.16,1.91,0.54,1.21,0.65,2.27,1.5,2.26,0.77,0.53,1.56,1.74,1.1,1.39,1.83,1.85,0.88,1.32,1.17,1.69,6.45,0.71,2.74,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,3.33,1.94,2.18,3.2,0.89,2.06,1.74,1.88,2.49,1.33,4.94,1.17,1.28,3.09,2.19,1.12,3.63,3.12,2.8,1.81,2.86,2.17,0.82,1.76,3.25,1.36,0.54,0.77,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
