"CARLUKE MAULDSLIE CASTLE",,,,,,,,,,,,
Grid ref,NS807504,Long,-3.901371,Lat,55.732260,,,,,,,
Station no,RR3135,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.91,2.13,2.15,5.84,3.73,1.64,5.52,2.15,4.62,5.26,,
February,2.77,1.26,0.92,6.02,2.15,2.82,2.08,2.63,2.16,2.22,,
March,0.56,2.23,2.25,7.25,1.11,3.65,3.58,3.81,4.39,3.18,,
April,2.47,2.61,0.94,1.07,4.55,2.11,1.36,1.57,1.25,2.76,,
May,2.13,1.32,1.80,1.88,2.31,0.98,4.57,3.18,2.54,1.67,,
June,3.98,2.45,2.03,1.47,1.87,0.47,0.52,3.60,1.45,3.32,,
July,3.85,2.16,2.48,3.36,2.12,2.38,1.66,2.57,2.55,2.88,,
August,4.05,3.96,2.73,4.35,4.29,3.16,5.28,4.12,2.63,2.34,,
September,2.86,2.03,2.34,2.53,1.28,2.22,1.04,1.04,3.69,1.88,,
October,5.75,3.73,1.84,6.30,1.64,1.87,5.86,7.61,0.53,5.72,,
November,5.82,3.42,1.24,2.95,1.98,2.62,3.74,1.61,2.72,1.42,,
December,7.76,4.47,4.10,2.03,3.03,3.59,3.26,4.29,2.05,4.59,,
Total,46.91,31.77,24.82,45.05,30.06,27.51,38.47,38.18,30.58,37.24,,
Calc annual,46.91,31.77,24.82,45.05,30.06,27.51,38.47,38.18,30.58,37.24,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
