CARMARTHEN-GAOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN413200,Long,-4.3058039,Lat,51.855962,Elevation,92,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,5.46,3.72,7.15,5.59,5.17,3.53,6.83,4.17,4.8,9.75,8.39,6.34,9.51,3.49,9.41,3.64,3.83,0.8,1.4,,,,,,,,
February,,,,1.46,1.96,4.62,4.76,3.12,2.16,4.72,5.55,4.02,7.34,2.54,4.38,2.75,5.95,4.35,3.09,5.11,5.33,5.66,,,,,,,,
March,,,,2.36,3.14,2.79,4.82,3.37,3.05,2.88,3.99,3.06,6.26,3.57,3.7,1.6,4.07,4.21,2.03,2.89,2.67,4.58,,,,,,,,
April,,,,1.29,1.12,1.53,1.85,4.48,1.89,3.03,0.81,4.69,2.69,0.72,3.34,2.98,3.69,3.62,3.61,2.53,3.25,2.91,,,,,,,,
May,,,,1.99,1.82,5.78,1.28,3.9,2.22,3.99,3.24,0.89,2.23,2.8,0.87,3.55,0.35,4.5,4.5,3.49,2.1,2.74,,,,,,,,
June,,,,5.72,3.79,1.29,4.35,0.66,0.8,0.94,0.8,2.99,7.43,1.99,1.47,3.76,2.46,2.75,2.64,7.68,2.06,3.89,,,,,,,,
July,,,,0.8,2.09,3.11,0.95,2.31,1.1,2,1.74,7.17,2.99,4.39,2.23,6.56,3.45,4.36,1.89,4.11,7.85,3.07,,,,,,,,
August,,,,6.28,3.18,6.66,6,2.5,2.08,1.91,2.68,3.28,3.45,6.72,7.3,7.02,5.48,7.81,7.32,8.78,0.91,5.71,,,,,,,,
September,,,,4.88,6.94,0.58,7.92,3.4,4.07,7.8,2.8,6.66,5.66,3.66,8.07,5.81,6.75,3.16,3.25,5.99,4.49,3.29,,,,,,,,
October,,,,7.51,2.57,7.38,2.31,7.03,5.19,3.52,9.36,7.38,7.7,4.56,6.88,6.3,6.8,5.94,6.28,1.96,5.35,5.12,,,,,,,,
November,,,,5.27,4.89,6.11,4.36,1.52,3.4,4.28,5.64,2.09,9.67,2.46,3.08,7.47,5.77,8.68,4.66,0.87,5.65,,,,,,,,,
December,,,,2.58,3.67,3.47,4.05,4.58,10.6,6.96,1.85,5.09,9.69,2.24,5.97,3.56,10.21,4.3,2.92,2.88,7.82,,,,,,,,,
Total,,,,45.6,38.89,50.47,48.24,42.04,40.09,48.86,42.63,52.12,74.86,44.04,53.63,60.87,58.47,63.09,45.83,50.12,48.28,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is the tower of Carmarthen Gaol. The tower is where the gauge was mounted in a garden on the roof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The inspector queried the Nov 1881 reading with the observer but could not find out why the reading was ""improbably high"". The inspector also wrote that the 1882 readings were incorrect with no explanation. All of these readings have been removed from this record.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
