" CARSPHAIRN (KNOCKGRAY)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5020,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,7.47,8.99,6.59,9.49,3.75,6.99,9.70,9.63,5.87,4.53,,
February,6.28,0.15,5.52,0.76,7.45,3.00,8.08,5.00,7.09,2.64,,
March,1.65,3.29,3.78,3.42,2.12,3.78,3.57,3.56,6.56,5.87,,
April,2.54,5.74,2.38,3.42,5.16,1.53,3.00,0.63,2.89,3.49,,
May,4.14,3.40,3.78,4.46,1.21,2.19,2.84,5.15,1.15,1.93,,
June,7.11,2.03,3.52,2.75,5.88,2.40,2.35,6.01,3.85,1.38,,
July,4.56,4.64,5.91,2.94,2.63,5.89,6.81,5.52,5.86,6.43,,
August,2.71,1.86,2.86,6.06,1.79,3.75,3.45,2.77,2.39,2.25,,
September,1.63,7.38,1.83,8.62,8.33,5.58,3.25,5.22,2.70,5.86,,
October,3.83,8.06,4.09,10.50,10.33,6.20,4.40,11.12,3.89,8.74,,
November,15.77,5.15,2.63,1.26,7.81,5.93,1.32,11.06,10.03,8.38,,
December,5.55,11.39,1.86,12.22,5.41,7.93,5.44,5.89,3.61,7.98,,
Total,63.24,62.08,44.75,65.90,61.87,55.17,54.21,71.56,55.89,59.48,,
Calc annual,63.24,62.08,44.75,65.90,61.87,55.17,54.21,71.56,55.89,59.48,,
Difference,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,,
