CHATHAM (ROYAL NAVAL HOSPITAL),,,,,,,,,,,,
Grid ref,TQ771675,Long,0.543389,Lat,51.378925,,,,,,,
Station no,369/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.28,1.64,0.76,1.04,3.15,3.98,1.06,1.82,2.18,1.93,,
February,5.78,0.88,1.09,1.73,1.90,0.39,3.16,1.76,0.02,1.78,,
March,2.77,2.70,0.19,2.29,0.94,0.58,1.00,0.80,1.55,1.35,,
April,2.17,1.00,2.05,0.23,0.17,1.38,0.17,1.10,2.35,0.44,,
May,2.24,0.57,1.75,1.91,3.67,0.35,1.04,1.77,0.81,2.75,,
June,1.03,1.78,1.96,3.61,2.40,2.08,1.13,4.06,0.62,1.59,,
July,2.57,0.53,3.07,2.16,2.78,3.83,2.68,1.66,1.70,2.94,,
August,3.24,2.54,1.10,2.87,1.54,2.70,1.97,4.31,0.79,4.38,,
September,3.81,3.07,2.55,1.32,2.02,1.59,2.18,3.83,0.21,3.56,,
October,0.89,2.31,1.92,1.58,4.42,1.07,1.34,3.33,2.76,6.03,,
November,3.89,4.08,1.36,4.77,0.73,0.59,3.14,0.91,3.58,3.74,,
December,3.08,2.32,0.78,1.62,1.66,2.91,2.17,3.27,4.62,2.92,,
Total,33.75,23.42,18.58,25.13,25.38,21.45,21.04,28.62,21.19,33.41,,
Calc annual,33.75,23.42,18.58,25.13,25.38,21.45,21.04,28.62,21.19,33.41,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
