"CHATTERIS (CEMETERY)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1217/3,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,,,,,2.61,1.14,,
February,,,,,,,,,0.38,1.34,,
March,,,,,,,,,1.21,1.79,,
April,,,,,,,,,1.85,0.91,,
May,,,,,,,,,0.62,1.16,,
June,,,,,,,,,1.70,0.32,,
July,,,,,,,,,1.86,2.99,,
August,,,,,,,,,2.59,0.15,,
September,,,,,,,,,1.25,0.52,,
October,,,,,,,,1.69,3.60,1.45,,
November,,,,,,,,1.72,2.79,4.41,,
December,,,,,,,,2.40,1.01,1.33,,
Total,,,,,,,,,21.47,17.51,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.81,21.47,17.51,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
