HENLEY CHELSHAM,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8075,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,,,,,1.79,3.28,,
February,,,,,,,,,1.96,4.17,,
March,,,,,,,,,1.32,1.01,,
April,,,,,,,,,3.97,3.06,,
May,,,,,,,,,3.66,4.28,,
June,,,,,,,,0.91,2.01,5.04,,
July,,,,,,,,3.79,0.68,4.77,,
August,,,,,,,,3.72,5.51,5.23,,
September,,,,,,,,1.37,1.40,3.90,,
October,,,,,,,,2.53,2.20,0.93,,
November,,,,,,,,7.14,4.93,1.79,,
December,,,,,,,,2.50,2.19,1.02,,
Total,,,,,,,,,31.62,38.48,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.96,31.62,38.48,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
