CHICHESTER-NORTH-MUNDHAM (VICARAGE),,,,,,,,,,,,,,,,,,,,,
Grid ref,SU8751202218,Long,-0.75922349,Lat,50.812911,Elevation,20,ft,,,,,,,,,,,,,
Station no,421,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,2.48,5.01,1.33,4.56,2.66,2.9,2.41,2.68,0.88,5.11,5.99,3.93,5.88,
February,,,,,,,,3.78,1.91,1.3,1.68,1.73,0.4,2.98,0.09,3.87,3.11,5.38,0.79,1.75,
March,,,,,,,,3.37,2.36,0.12,1.48,1.15,1.54,2.77,3.11,1.03,1.88,3.75,0.65,1.47,
April,,,,,,,,1.79,2.36,0.73,2.67,2.88,2.55,1.33,2.91,3.58,1.95,3.06,0.23,3.14,
May,,,,,,,,0.76,1.46,2.53,1.67,2.94,4.48,3.26,0.65,0.98,0.38,3.07,1.66,1.77,
June,,,,,,,,3.06,2.08,1.97,0.64,1.79,1.95,1.98,1.24,2.86,4.16,1.07,0.71,1.17,
July,,,,,,,,2.61,1.82,1.89,1.89,3.13,3.67,1.66,1.18,0.99,4.36,1.6,1.38,2.73,
August,,,,,,,,3.7,2.47,2.3,3.63,3.75,1.01,1.02,2.77,3.39,0.63,2.09,3.2,1.89,
September,,,,,,,,6.74,1.17,2.24,2.64,2.6,2.71,3.71,1.73,5,2.45,1.75,3.19,0.84,
October,,,,,,,,1.88,8.36,5.18,2.23,0.62,7.59,2.39,2.46,4.86,1.21,2.79,4.28,6.81,
November,,,,,,,,3.29,3.3,6.61,5.24,3.86,1.76,1.27,4.19,8.64,5.23,2.66,4.64,7.06,
December,,,,,,,,4.69,4.2,6.94,3.31,0.91,1.24,0.71,9.93,4.54,2.4,4.87,3.59,1.83,
Total,,,,,,,,38.15,36.5,33.14,31.64,28.02,31.8,25.49,32.94,40.62,32.87,38.08,28.25,36.34,
