"CHRISTOW KENNICK 1",,,,,,,,,,,,
Grid ref,SX807838,Long,-3.688563,Lat,50.641641,,,,,,,
Station no,1744,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.21,3.76,0.67,2.01,6.45,3.56,4.55,,,,,
February,5.32,0.61,1.46,3.29,3.48,0.36,8.07,,,,,
March,3.91,3.44,0.74,3.40,2.41,1.62,5.33,,,,,
April,1.91,3.21,2.69,0.15,1.16,0.81,0.35,,,,,
May,2.56,2.64,2.78,1.97,3.85,0.92,2.70,,,,,
June,0.91,0.71,2.46,3.38,3.28,1.88,2.67,,,,,
July,2.09,1.23,2.59,2.48,2.33,4.47,4.27,,,,,
August,4.37,4.74,1.97,3.35,0.54,3.52,3.24,,,,,
September,4.55,3.15,3.85,2.83,1.43,7.99,3.36,,,,,
October,1.27,5.60,4.12,3.15,1.92,2.51,2.31,,,,,
November,5.25,4.27,2.21,6.96,4.56,2.08,3.29,,,,,
December,3.07,3.41,1.32,3.48,5.64,7.31,4.02,,,,,
Total,39.42,36.77,26.86,36.45,37.05,37.03,44.16,,,,,
Calc annual,39.42,36.77,26.86,36.45,37.05,37.03,44.16,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
