"CLENCHWARTON (THE BEECHES)",,,,,,,,,,,,
Grid ref,TF594212,Long,0.361047,Lat,52.764881,,,,,,,
Station no,RR4411,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.77,1.07,1.43,2.10,4.12,1.83,2.62,3.35,3.05,,
February,,0.67,1.48,2.35,2.52,0.95,4.19,3.74,0.11,1.27,,
March,,2.07,0.86,2.64,2.05,0.78,2.16,0.99,1.88,0.93,,
April,,1.22,2.21,0.24,0.83,0.86,0.34,0.67,1.12,0.60,,
May,,2.28,1.41,2.41,2.18,0.90,1.70,3.29,0.87,0.65,,
June,,0.97,4.06,2.17,2.15,2.48,1.86,3.04,0.71,1.06,,
July,,0.43,2.09,2.47,0.32,2.81,2.16,4.64,2.40,2.65,,
August,,1.86,2.50,4.59,0.59,4.63,2.41,2.86,2.00,3.27,,
September,,2.68,1.26,2.32,1.31,1.27,3.87,3.00,0.04,2.12,,
October,,1.74,2.53,2.62,2.15,1.14,1.75,1.66,1.86,4.22,,
November,,2.52,1.83,4.45,1.20,0.84,1.44,1.14,1.53,4.24,,
December,,1.47,0.97,2.18,1.44,1.97,1.86,3.02,4.16,4.11,,
Total,,19.68,22.27,29.87,18.84,22.75,25.57,30.67,20.03,28.17,,
Calc annual,0.00,19.68,22.27,29.87,18.84,22.75,25.57,30.67,20.03,28.17,,
Difference,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
