"CLITHEROE, HALL FOOT",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7968,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,5.10,9.07,4.08,5.29,3.44,4.65,5.25,5.29,11.48,2.42,,
February,4.95,0.52,5.14,5.98,0.93,6.96,5.16,1.93,6.36,0.88,,
March,4.15,4.55,2.40,2.11,1.61,1.51,2.36,3.98,2.55,1.33,,
April,6.05,1.67,3.27,4.39,1.81,2.78,1.54,3.02,1.08,1.20,,
May,6.72,2.16,1.75,4.37,5.35,4.65,3.60,1.31,0.77,2.45,,
June,2.16,1.61,2.65,1.49,3.09,0.12,2.75,3.53,5.83,1.78,,
July,6.66,3.02,6.51,5.12,4.17,1.93,3.61,5.28,2.84,3.41,,
August,2.39,5.77,5.95,7.47,6.99,6.62,4.15,8.00,8.11,6.22,,
September,2.77,2.35,4.36,5.99,5.06,3.69,5.05,8.13,1.46,2.50,,
October,1.32,4.04,0.87,6.73,4.59,5.16,5.29,4.52,5.56,5.68,,
November,2.55,2.60,2.65,8.89,4.19,2.26,7.03,5.64,6.30,6.65,,
December,3.88,7.49,4.91,3.79,5.09,4.13,2.02,1.12,3.02,9.04,,
Total,48.50,44.85,44.54,61.62,46.32,44.46,47.81,51.75,55.36,43.56,,
Calc annual,48.70,44.85,44.54,61.62,46.32,44.46,47.81,51.75,55.36,43.56,0.00,
Difference,-0.20,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,NaN,
