"GLENAM (CLONMEL)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1763,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,5.11,2.95,3.05,4.98,5.38,6.41,1.09,5.04,2.99,5.80,,
February,2.94,0.34,5.43,3.88,2.11,1.39,2.13,1.77,1.62,4.30,,
March,5.48,1.43,1.32,0.61,1.83,3.27,3.80,5.43,0.65,1.41,,
April,1.33,2.07,1.02,0.74,6.17,2.36,0.67,5.08,4.54,3.48,,
May,3.89,3.24,3.23,2.36,2.05,0.90,0.13,1.60,2.55,3.20,,
June,2.83,3.35,2.74,1.55,2.11,2.24,2.35,2.90,3.92,2.23,,
July,2.56,2.67,3.89,2.34,3.74,3.36,5.04,1.34,1.46,4.29,,
August,3.17,5.65,5.76,4.20,4.37,5.12,1.78,5.28,4.78,2.51,,
September,2.88,2.51,3.68,1.36,1.07,1.46,5.81,2.83,3.14,1.29,,
October,2.12,6.64,2.54,3.76,4.94,2.73,3.23,4.17,5.50,1.79,,
November,5.20,4.74,6.65,2.90,5.33,7.12,1.20,5.25,4.32,4.07,,
December,2.43,5.56,1.94,4.75,3.74,11.58,6.76,5.19,3.02,9.62,,
Total,39.94,41.15,41.25,33.43,42.84,47.94,33.99,45.88,38.49,43.99,,
Calc annual,39.94,41.15,41.25,33.43,42.84,47.94,33.99,45.88,38.49,43.99,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
