COLCHESTER-THE-CAMP,,,,,,,,,,,,,,,,,,,,
Grid ref,TL997244,Long,0.90014038,Lat,51.882386,Elevation,109,ft,,,,,,,,,,,,
Station no,RR7403,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,2.66,2.03,2.17,2.52,2.03,1.36,1.07,3.27,,,,,,,
February,,,,,,2.16,3.25,1.36,0.67,2.19,0.55,1.74,0.94,,,,,,,
March,,,,,,1.51,1.65,2.12,1.69,1.5,1.55,1.22,2.64,,,,,,,
April,,,,,,0.33,1.62,1.6,1.24,0.7,0.5,2.89,1.28,,,,,,,
May,,,,,,1.55,1.28,4.19,1.39,2.58,1.05,0.97,3.04,,,,,,,
June,,,,,,1,2.92,1.71,0.53,1.13,0.35,2.07,2.81,,,,,,,
July,,,,,,2.65,3.39,,0.18,0.31,1.36,2.97,2.73,,,,,,,
August,,,,,,5.99,3.36,1.9,2.03,1.3,1.5,0.67,1.42,,,,,,,
September,,,,,,0.03,3.41,1.2,1.25,3.5,2.44,4.27,1.76,,,,,,,
October,,,,,,6.16,0.56,2.21,2.35,2.88,3.09,0.99,3.23,,,,,,,
November,,,,,,2.08,2.33,0.22,1.17,2.3,1.21,0.63,3.57,,,,,,,
December,,,,,,0.71,2.22,2.28,3.78,2.97,2.57,1.73,3.08,,,,,,,
Total,,,,,,26.83,28.02,,18.8,23.39,17.53,21.22,29.77,,,,,,,
