COLMONELL (KNOCKDOLIAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX122857,Long,-4.947248,Lat,55.129968,Elevation,170,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.64,2.55,2.74,6.17,6.28,3.18,4.69,3.94,2.73,3.71,4.22,5.92,6.7,7.15,4.66,5.7,3.85,7.29,6.32,8.23,2.17,7,7.07,5.19,3.06,4.85,2.45,5.82,8.17,4.62,3.96,3.18,0.67,5.72,7.01,4.37,3.79,7.34,4.84,7.4,3.94,2.48,4.49,5.04,1.52,3.77,3.06,2.82,4.23,6.2,1.73,2.94
February,,,,,,,,,,2.78,8.29,4.8,3.89,1.87,6.46,8.5,3.91,1.06,5.54,0.99,3.7,0.72,4.5,7.75,1.24,6.12,3.76,2.53,2.95,2.02,0.4,3.64,0.08,3.18,0.5,4.32,2.59,6.19,2.24,4.01,1.8,3.95,1.71,3.44,1.44,4.63,2.82,0.43,2.11,3.55,3.38,3.4,1.18,1.49,4.13,3.37,0.92,3.15,4.27,1.85,5.26
March,,,,,,,,,,3,2.44,1.24,5.15,4.39,5.15,2.16,1.08,2.03,1.25,4.15,4.23,6.2,1.61,2.01,0.8,1.58,2.03,5.51,6.29,1.13,2.81,1.03,2.88,3.12,2.29,1.66,2.15,2.19,0.98,4,5.44,2.34,2.97,1.34,0.43,2.2,1.54,5.02,3.63,2.49,2.14,3.28,2.15,0.29,4.15,1.36,1.42,3.23,0.96,3.79,1.61
April,,,,,,,,,,2.34,3.15,4.12,1.25,3.97,3.33,2.89,3.65,1.93,0.7,1.71,2.67,1.61,3.83,2.44,2.85,4.07,1.97,2.9,2.49,1.14,2.04,1.43,3.61,1.51,2.63,2.33,0.94,2.51,0.44,2.03,1.43,1.74,2.37,3.25,2.19,1.18,1.07,4.23,1.51,4.06,3.21,2.11,1.67,1.58,1.11,2.78,1.13,1.57,1.71,2.65,3.57
May,,,,,,,,,,1.61,2.54,2.74,1.51,3.98,2.22,1.04,3.82,3.89,2.83,1.15,3.33,2.25,2.83,2.09,2.78,5.78,2.53,2.59,1.49,4.47,2,1.98,2.83,2.01,4.53,0.65,3.49,1.1,2.38,1.08,1.74,2.4,2.79,2.54,2.67,3.06,0.49,3.53,0.95,1.71,1.95,2.01,1.85,1.93,2.4,2.65,2.06,1.53,1.73,1.63,2.05
June,,,,,,,,,,2.45,1.38,2.59,7.34,2.9,0.85,1.14,1.89,2.76,1.93,4.91,3.09,0.83,3.5,1.73,1.96,0.56,2.23,3.9,4.39,3.17,2.52,4.4,1.95,2.93,2.18,2.8,2.71,2.49,4.36,1.96,1.48,0.72,0.88,3.39,3.44,3.28,1.73,3.25,4.15,0.81,2.58,1.51,2.44,0.84,4.07,2.86,2.35,1.29,4,2.78,2.02
July,,,,,,,,,,5.83,4.41,1.99,1.72,0.97,2.82,3.41,3.8,2.05,2.92,1.34,3.8,4.74,2.92,4.98,3.18,3.15,3.91,2.49,2.35,2.91,2.59,2.55,4.98,3.22,1.91,1.81,5.94,3.43,5.27,3.03,4.83,2.84,3.78,1.27,2.45,2.36,3.8,3.43,2.91,1.21,3.43,1.98,2.76,4.91,4.31,1.07,3.86,5.3,3.91,2.8,4.51
August,,,,,,,,,,3,4.98,2.06,4.45,2,4.65,1.45,3.19,3.61,3.7,2.88,4.33,4.37,3.23,7.62,4.15,2.43,3.95,4.04,4.05,5.25,5.76,2.16,1.58,4.16,3.56,1.61,4.2,2.71,2.06,3.35,2.1,4.53,4.55,4.59,3.5,1.58,2.82,0.06,3.53,3.4,5.01,5.55,5.68,2.18,4.37,1.47,5.99,3.14,3.33,1.04,4.69
September,,,,,,,,,,2.48,1.55,1.9,1.81,3.31,1.86,1.16,1.43,2.49,5.11,4.32,2.41,1.91,2.83,5.96,7.12,3.98,4.61,6.08,3.1,1.45,4.37,1.96,5.57,1.51,5.97,4.23,4.35,2.49,3.88,2.02,5.79,2.28,5.16,3.15,4.3,5.07,5.68,3.84,4.69,2.86,11.33,3.06,2.83,6.3,5.35,3.62,3.51,4.92,3.83,2.02,3.9
October,,,,,,,,,1.7,6.25,2.87,5.4,4.48,3.16,1.82,3.15,6.13,9.57,6.8,1.46,6.08,4.55,2.13,6.37,2.14,5.01,5.4,4.44,7.94,5.19,8.72,3.57,7.27,3.29,5.66,7.07,4.12,3.98,6.52,3.48,5.04,4.86,5.5,6.26,5.34,3.21,0.48,1.74,5.86,5.65,4.63,1.04,4.57,4.84,7.59,3.28,3.11,5.5,2.93,6.76,2.83
November,,,,,,,,,4.74,1.57,4.21,3.91,4.27,5.82,4.89,1.86,4.78,5.54,5.71,2.99,3.61,3.89,3.39,6.96,4.38,2.61,5.9,5.66,7.07,8.5,5.18,10.38,4.11,2.47,1.31,5.77,4.93,0.99,5.82,5.91,6.07,4.66,0.82,3.39,6.18,0.46,6.51,6.05,2.75,4.66,4.39,7.81,2.54,6.04,7.76,3,2.19,2.1,1.36,4.62,6.82
December,,,,,,,,,4.78,4.59,6,10.69,5.86,4.71,8.44,6.74,5.9,4.13,6.49,9.89,5.45,6.44,3.63,7.46,5.42,4.81,2.11,1.54,6.1,11.8,4.92,5.5,7.74,2.43,9.56,3.76,5.11,3.61,4.49,2.56,6.06,1.9,7.56,3.36,7.17,4.68,5.48,2.42,6.11,5.28,2.57,7.46,3.66,4.31,6.37,4.38,5.13,4.76,5.99,6.63,4.51
Total,,,,,,,,,,39.54,44.37,44.18,47.9,43.36,45.67,38.19,43.52,41.79,46.69,40.01,48.62,44.21,41.55,60.03,41.72,43.95,45.69,48,56.45,49.2,48.31,45.67,47.79,32.89,44.95,38.46,46.35,39.86,43.06,37.39,44.96,32.89,43.81,42.99,43.48,35.5,39.76,38.84,45.6,39.62,47.1,43.7,36.37,36.23,55.38,32.9,34.49,40.72,40.22,38.3,44.71
