CONISBROUGH FIRSBY RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK495958,Long,-1.256003,Lat,53.456636,Elevation,189,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,
January,0.2,0.47,3.4,3,4.04,1.99,3.48,2.13,0.77,1.65,2.89,1.06,1.32,2,1.68,3.93,0.64,3.14,0.56,2.38,2.9,1.33,0.71,1.97,1.86,0.4,2.91,0.75,0.95,0.87,1.63,0.81,4.03,2.73,1.15,2.54,0.72,2.33,1.57,3.24,2.68,1.72,3.24,0.59,1.1,1.9,2.5,1.17,3.42,1.82,3.5,1.84,0.93,2.15,1.59,1.55,3.12,3.61,1.87,5.04,2.37,4.42,1.91,3.59,2.29,1.88,1.86,2.58,4.61,0.95,1.06,1.93,1.77,0.44,1.62,1.95,3.8,0.98,1.97,2.47,4.35,,,,,,,,,,,,,,,,,,,
February,1.82,3.03,1.73,2,1.44,2.89,0.49,0.87,1.3,1.72,1.15,0.03,2.74,3.46,2.8,0.33,0.65,3.32,0.57,1.53,4,1.14,1.44,1.29,4.24,0.91,2.34,1.14,1.75,0.59,2.26,0.91,1.57,0.8,1.1,3.19,4,0.29,1.1,2.93,2.06,0.18,2.04,3.83,1.2,3.57,1.28,1.49,2.03,1.05,0.75,2.04,0.52,3.39,0.9,2.86,3.1,3.41,1.12,0.87,2.59,3.22,0.87,0.63,1.88,1.57,2.26,3.57,1.44,0.84,4.82,3.02,0.34,1.6,2.34,2.63,1.39,2.01,3.34,0.04,2.34,,,,,,,,,,,,,,,,,,,
March,2.29,2.55,1.28,1.28,1.86,1.71,2.21,1.19,3.29,4.67,1.43,1.42,1.1,0.78,0.85,2.23,2.54,3.17,1.58,0.87,0.68,1.49,1.39,2.65,2.17,2.06,1.14,0.99,2.98,3.71,0.55,1.17,2.48,2.4,1.96,1.21,4.91,1.56,0.92,4.01,1.6,0.68,1.17,1.43,0.84,0.47,0.51,2.16,2.53,0.11,2.84,0.16,1.5,2.94,2.65,1.51,1.69,2.96,0.31,2.42,1.74,4.94,1.68,0.8,0.49,0.48,1.6,5.49,0.3,1.14,1,2.79,1.67,0.66,1.38,2.57,0.74,1.01,1.95,1.07,1.73,,,,,,,,,,,,,,,,,,,
April,1.46,0.7,3.09,2.89,2.54,2.2,1.85,1.14,1.77,3.54,0.46,2.02,1.43,0.47,3.37,2.51,1.08,1.49,2.63,1.7,0.98,1.24,2.33,1.69,1.24,2.03,0.67,2.25,2.34,1.3,2.26,0.82,0.12,2.27,0.62,0.71,0.75,1.82,1.71,1.32,4.34,1.11,3.13,1.83,1.55,2.45,1.42,2.28,1.03,0.94,2.89,3.73,2.49,1.05,2.58,1.94,1.51,2.9,0.14,1.71,2.13,1.81,0.96,1.35,2.04,1.24,1.41,2.3,1.5,2.37,2.53,1,0.94,1.89,0.31,0.45,2.73,0.16,0.45,2.95,0.7,,,,,,,,,,,,,,,,,,,
May,2.52,1.98,1.81,1.79,1.14,2.24,6.28,1.81,0.63,5.11,3.02,3.38,2.54,2.31,1.5,0.74,0.72,0.83,2.39,2.82,1.36,1.05,2.8,3.16,1.91,0.61,1.39,3.67,2.75,2.04,2.29,1,4.48,2.12,1.56,1.8,3.59,2.31,2.39,0.7,2.67,1.31,0.82,2.99,3.11,3.65,2.14,1.24,2.21,1.13,1.5,2.27,6.27,2.66,0.96,0.45,1.1,3.44,2.59,1.63,0.74,2.25,2.56,2.48,2.54,1.92,3.75,2.34,2.04,1.53,2.12,4.79,1.7,1.94,2.92,2.46,0.32,0.76,2.42,0.86,1.11,,,,,,,,,,,,,,,,,,,
June,2.74,1.45,3.98,4.71,1.29,2.51,0.98,0.34,1.82,0.43,2.16,2.71,3.63,1.49,2.43,4.52,2.73,2.97,1.01,2.57,2.95,1.16,1.89,1.76,0.45,2.56,2.07,3.84,1.41,3.31,2.37,2.52,4.41,0.54,2.42,0.75,1.22,1.4,1.44,0.84,2.52,0.26,0.74,0.67,2.22,0.13,2.45,2.87,3.21,1.04,0.75,5.47,0.93,1.43,1.52,4.65,4.5,2.05,1.98,2.12,0.81,0.23,1.18,0.97,2.09,2.02,3.19,3.08,2.5,0.89,1.25,1.03,1.65,1.13,1.54,2.97,3.05,1.88,4.55,1.18,0.82,,,,,,,,,,,,,,,,,,,
July,4.96,2.17,2.88,2.37,4.88,0.65,3.76,1.81,5.26,1.63,2.4,2.27,2.35,4.42,3.63,5.07,1.44,0.84,3.55,1.23,1.82,3.4,1.48,1.91,2.58,1.71,1.44,2.2,2.13,4.08,2.61,0.14,4.68,1.56,3.28,4.63,1.25,1.05,2.99,3.76,4.21,0.24,3.11,4.9,2.4,1.18,1.93,2.99,0.57,0.94,6.37,3.58,2.66,1.85,1.17,0.86,5.03,2.85,2.98,4.38,4.56,3.58,1.94,0.76,2.56,2.39,3.86,1.7,1.16,4.75,1.62,1.4,1.71,2.35,1.96,0.58,3.69,3.6,5.58,1.02,2.44,,,,,,,,,,,,,,,,,,,
August,2.29,4.7,1.48,1.41,1.68,2.23,1.31,1.87,2.41,3.07,2.79,2.68,2.03,1.41,2.12,2.22,1.72,3.34,3.71,0.86,4.61,1.19,3.17,2.97,4.12,3.09,1.23,1.8,2.03,2.53,2.73,1.57,5.21,1.75,2.14,2.49,1.96,4.67,1.7,2.79,0.68,5.05,6.56,2.23,3.9,1.43,2.88,5.6,2.39,1.9,3.09,4.9,2.08,0.44,1.01,2.02,1.91,0.21,3.35,2.22,0.41,2.88,2.85,1.84,3.41,2.94,6.09,0.6,5.28,1.6,4.24,4.21,1.09,2.08,6.56,0.37,5.56,4.07,2.06,0.55,3.22,,,,,,,,,,,,,,,,,,,
September,6.25,2.36,1.61,6.3,1.13,2.03,1.18,3.03,1.25,1.4,1.97,2.16,2.17,1.11,0.63,1.02,4.83,1.67,0.62,2.66,0.73,0.89,1.21,2.86,1.12,1.11,0.92,0.35,1.35,2.25,0.21,1.9,1.3,3.18,0.65,0.9,1.3,0.66,5.81,2.07,1.08,0.7,2.41,1.89,2.33,2.47,0.83,3.55,0.37,1.18,4.2,3.28,1.29,1.56,1.55,3.95,2.29,1.6,2.49,4.75,0.83,0.4,1.78,3.33,4.03,1.09,3.33,1.21,1.38,1.42,3.12,1.48,2.17,1.24,1.36,0.81,2.66,3.91,1.7,0,3.81,,,,,,,,,,,,,,,,,,,
October,7.49,2.81,4.55,3.76,1.23,5.54,4.26,2.28,0.8,3.99,1.16,3.38,5.46,1.43,4.12,3.17,3.7,1.14,3.15,2.79,2.47,1.84,2.92,5.5,0.42,1.29,4.84,6.29,0.9,2.44,1.93,1.96,2.47,4.33,2.6,1.23,1.7,2.43,1.17,2.92,2.07,1.71,0.93,1.35,3.26,2.83,2.16,2.12,4.35,2.82,1.82,0.88,3.59,4.98,1.49,3.25,2.36,3.33,2.47,3.43,4.73,2.68,2.07,1.71,2.54,3.22,1.17,0.74,1.29,3.17,0.87,1.06,3.47,1.65,3.07,1.59,1.17,0.86,1.57,1.56,5.98,,,,,,,,,,,,,,,,,,,
November,2.34,2.3,2.82,2.72,0.79,2.38,1.47,1.7,4.95,0.69,3.97,2.81,1.3,2.01,1.29,3.64,1.72,2.11,2.15,0.95,2.18,3.22,2.21,1.12,1.12,3.49,2.81,1.98,1.16,0.31,3.5,2.96,1.99,2.11,2.62,2.7,3.47,0.96,0.89,1.41,0.95,1.81,0.74,2.4,1.55,2.19,3.23,2.95,2.53,4.25,3.12,2.95,1.52,2.38,2.32,5.44,2.91,1.86,2.4,3.57,5.47,3.46,1.69,1.7,4.35,0.42,5.65,1.18,1.34,3.41,4.67,5.75,1.47,1.2,4.66,1.86,0.63,2.72,0.54,3.65,3.35,,,,,,,,,,,,,,,,,,,
December,3.43,2.41,3.5,1.07,2.08,0.67,3.53,1.41,1.91,1.52,0.67,3.96,0.64,2.96,1.4,3.11,3.13,2.4,1.95,2.57,3.39,5.89,2.01,0.95,1.47,0.5,2.32,2.09,1.78,5.01,3.9,4.18,2.34,0.91,4.6,5.96,2.57,1.34,2.5,3.19,2.36,2.35,2.89,2.29,1.65,2.3,0.9,2.38,2,3.81,2.12,0.61,0.98,0.45,3.65,2.91,1.27,3.92,3.7,2.67,2.37,0.42,1.43,0.89,1.67,1.42,3.06,2.35,2.75,2.12,1.28,1.33,1.48,1.08,2.55,1.96,2.65,2.17,3.27,3,2.1,,,,,,,,,,,,,,,,,,,
