"CONNEL FERRY, ACH-NA-CLOICH",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8284,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,8.52,11.17,4.38,,,,,,,,,
February,10.25,2.61,7.58,,,,,,,,,
March,6.88,9.27,2.50,,,,,,,,,
April,2.66,2.00,3.08,,,,,,,,,
May,5.97,5.47,7.75,,,,,,,,,
June,2.52,1.62,6.09,,,,,,,,,
July,3.49,5.29,5.91,,,,,,,,,
August,5.32,4.45,4.27,,,,,,,,,
September,3.50,4.92,3.77,,,,,,,,,
October,4.43,8.49,3.85,,,,,,,,,
November,8.46,2.77,5.53,,,,,,,,,
December,6.36,9.91,6.73,,,,,,,,,
Total,68.36,67.97,61.44,,,,,,,,,
Calc annual,68.36,67.97,61.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,-0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
