"COTHERSTONE (LANCELANDS)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3494/5,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,3.12,3.00,3.86,3.18,4.00,2.37,2.92,8.06,1.57,,,
February,3.26,1.80,1.90,2.00,3.78,3.15,3.45,3.26,2.36,,,
March,2.64,2.52,1.95,0.23,0.91,1.60,4.77,0.88,0.78,,,
April,1.58,1.77,1.77,1.32,2.43,0.71,5.79,3.34,2.22,,,
May,1.01,1.72,3.17,1.19,3.00,1.82,2.03,1.12,0.94,,,
June,0.17,0.54,2.02,1.48,1.94,2.03,2.95,3.20,0.85,,,
July,1.06,2.10,1.29,3.85,1.48,3.01,2.80,0.51,2.84,,,
August,1.75,2.24,5.51,1.09,5.50,3.58,0.19,3.30,1.36,,,
September,0.07,1.98,2.70,6.29,1.41,5.05,2.46,2.92,2.01,,,
October,3.69,2.16,2.49,3.09,4.58,0.79,0.92,1.54,4.10,,,
November,2.83,0.93,2.92,6.71,0.74,6.13,3.43,2.02,4.54,,,
December,0.68,3.21,2.02,3.67,1.64,3.44,3.19,2.85,5.41,,,
Total,21.86,23.97,31.60,34.10,31.41,33.68,34.90,33.00,28.98,,,
Calc annual,21.86,23.97,31.60,34.10,31.41,33.68,34.90,33.00,28.98,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,,
