"COVENTRY, WALSGRAVE-ON-SOWE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4691,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,0.39,1.16,2.34,,,,,,,,,
February,3.13,3.96,2.06,,,,,,,,,
March,1.17,1.92,1.61,,,,,,,,,
April,1.36,0.57,3.14,,,,,,,,,
May,1.56,0.90,1.48,,,,,,,,,
June,2.37,2.28,4.86,,,,,,,,,
July,4.99,2.25,3.57,,,,,,,,,
August,1.20,5.06,1.75,,,,,,,,,
September,5.32,1.73,2.75,,,,,,,,,
October,5.00,2.57,5.79,,,,,,,,,
November,1.87,3.01,4.15,,,,,,,,,
December,3.17,2.47,3.27,,,,,,,,,
Total,31.53,27.88,36.77,,,,,,,,,
Calc annual,31.53,27.88,36.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
