"DALBEATTIE COLVEND MANSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1338,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,,6.30,3.50,7.96,3.56,2.23,,
February,,,,,,1.20,4.00,3.15,2.84,1.25,,
March,,,,,,0.70,3.00,2.60,0.95,2.15,,
April,,,,,,1.90,1.80,2.50,2.56,0.98,,
May,,,,,,1.70,0.35,2.75,3.20,2.05,,
June,,,,,,3.70,2.80,4.01,2.90,4.45,,
July,,,,,,2.10,3.55,4.04,0.40,5.08,,
August,,,,,,2.10,3.00,5.63,4.05,5.42,,
September,,,,,,1.90,4.75,2.56,3.23,4.16,,
October,,,,,,5.00,4.62,6.62,3.18,1.55,,
November,,,,,,4.50,2.90,8.48,1.00,1.14,,
December,,,,,,2.60,6.00,5.28,2.50,2.65,,
Total,,,,,,33.70,40.27,55.58,30.37,33.11,,
Calc annual,0.00,0.00,0.00,0.00,0.00,33.70,40.27,55.58,30.37,33.11,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
